# all rates in Hertz, MC rates scaled by 0.9304512573921757
bin_edges bin_midpoints nuenuebar nuenuebar__err nuenuebar_frac nuenuebar_frac__err numunumubar numunumubar__err numunumubar_frac numunumubar_frac__err nutaunutaubar nutaunutaubar__err nutaunutaubar_frac nutaunutaubar_frac__err nue_ccnuebar_cc nue_ccnuebar_cc__err nue_ccnuebar_cc_frac nue_ccnuebar_cc_frac__err numu_ccnumubar_cc numu_ccnumubar_cc__err numu_ccnumubar_cc_frac numu_ccnumubar_cc_frac__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nutau_ccnutaubar_cc_frac nutau_ccnutaubar_cc_frac__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err nuall_ncnuallbar_nc_frac nuall_ncnuallbar_nc_frac__err muon muon__err muon_frac muon_frac__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
0.0 0.125 4.148011178613401e-09 1.197735947016261e-09 0.0012686939873193634 0.0003727474252333198 2.337044348399675e-06 2.8875593924278123e-08 0.7147989687685719 0.039780555353530866 2.1423476506242008e-08 1.7442872808432644e-09 0.006552498211934077 0.0006411309177633591 4.148011178613401e-09 1.197735947016261e-09 0.0012686939873193634 0.0003727474252333198 2.336564733663915e-06 2.8873329121007632e-08 0.7146522757377947 0.03977264009675185 2.1418792871214942e-08 1.7442833153996344e-09 0.006551065694194426 0.0006410868012831533 4.842983707866868e-10 3.6166805707760403e-10 0.0001481255485167289 0.00011090997869999701 1.1512842558029754e-06 1.8846698858892258e-07 0.352127164112644 0.060728166786535843 3.513900091887506e-06 1.9067795578349839e-07 3.000287194587262e-06 1.129172981351237e-07 0.8538339497796154 0.0563853894084567
0.25 0.375 3.3098310638904277e-07 1.0295516452741118e-08 0.008179432832400062 0.00027878998331981434 2.934823582588542e-05 1.0722490054959896e-07 0.7252694142193049 0.010447674764473816 2.55100819684598e-07 5.884944572912357e-09 0.006304188884032557 0.00016990291381951823 3.056919495856635e-07 9.914754970218927e-09 0.0075544241406157045 0.00026667379355018513 2.9239328088252976e-05 1.0701878810132616e-07 0.7225780275361243 0.010410107787157051 2.337309430503726e-07 5.610024706103137e-09 0.005776084980261507 0.0001603070566795387 1.5556877107005018e-07 7.4171274444480345e-09 0.0038444992787360645 0.0001909638596705173 1.3555640435667972e-05 5.963190427563927e-07 0.33499428914473167 0.015458177655362827 4.348996018762703e-05 6.059985233343616e-07 4.508505219175108e-05 4.377189533179717e-07 1.0366772468230003 0.017605880312426308
0.5 0.625 3.818283632268439e-06 3.531158108720773e-08 0.03572443212958796 0.0005172973862260706 6.685234728029345e-05 1.6530522897861567e-07 0.6254805491491533 0.0071388353731730945 1.3045901190531676e-06 1.3437751478050147e-08 0.012205940064582768 0.000185212051961627 3.5553817761133515e-06 3.425447162369779e-08 0.0332646830848646 0.0004899911413550358 6.543445443826998e-05 1.634792358224124e-07 0.612214531880603 0.006990847764759272 1.1016396061240936e-06 1.2357150656861023e-08 0.010307104744040492 0.00016296080318800365 1.8837452111076283e-06 2.6490962754906514e-08 0.017624601633815892 0.00031622110915411526 4.289546761343281e-05 1.2686402707718679e-06 0.401336403737145 0.012684012322990334 0.00011487068864504788 1.2799224336948918e-06 0.00012029196788950006 7.14985737363015e-07 1.0471946264830363 0.01322448885647995
0.75 0.875 1.7099263972137057e-05 7.423318200216914e-08 0.10225773366778175 0.0010290666908290185 0.00010161004788951803 2.0630029988457674e-07 0.6076526587336083 0.005653079162019264 4.062669020630512e-06 2.3444352878958914e-08 0.024295743218476155 0.0002613650657586575 1.5868680723781273e-05 7.19364333048688e-08 0.09489854825071067 0.0009630051392108414 9.446392925102978e-05 1.9875559700198143e-07 0.5649171411298307 0.005264750549574773 3.232862581296989e-06 2.0915249426644923e-08 0.019333300039199787 0.00021553091411788137 9.206508326177554e-06 5.919401396871114e-08 0.05505714620012496 0.000612511248857013 5.69443843816288e-05 1.6166575797048645e-06 0.34054118946060297 0.010150326272103369 0.00017971636526391442 1.631625492183098e-06 0.00019070522359363089 9.002442541460885e-07 1.0611455629740745 0.010858501144382037
1.0 1.125 4.032238092458403e-05 1.1372202977888636e-07 0.18354316295606748 0.0016550479118853873 0.00012969601791361197 2.3486159270902217e-07 0.5903623944030956 0.0051681214321671965 7.767073608086066e-06 3.2040911066814565e-08 0.03535488788737538 0.00033610097779243934 3.7383714612363226e-05 1.1021605899646715e-07 0.17016666837787653 0.0015413760118056722 0.00011171969056331537 2.1764367839508662e-07 0.5085360760024507 0.0044667626754572795 6.075980861203671e-06 2.8349793528522777e-08 0.027657214672210162 0.00026974840888007237 2.260608640939981e-05 9.380419270839417e-08 0.10290048619400109 0.0009793097843153382 5.8324499407833405e-05 2.0050739207945956e-06 0.26548687983393093 0.00940586735615719 0.00023610997185411547 2.0222365627244145e-06 0.0002436054714664669 1.017472272434554e-06 1.031745798593304 0.009831456923569012
1.25 1.375 3.8422097677700074e-05 1.1426835290830356e-07 0.21262874880612348 0.002418843801642961 0.00010331181602474857 2.0928116504370875e-07 0.5717299029974682 0.006383687983427261 7.398838979231847e-06 3.217411152303545e-08 0.04094534056856353 0.00048356441585003493 3.566391834194989e-05 1.1072234495647745e-07 0.19736492260738248 0.002252078851060153 8.836222916368711e-05 1.9317930704759286e-07 0.4889985545921762 0.0054747285185844435 5.5852646847386e-06 2.7939327610670797e-08 0.030908979817524756 0.0003729493410869006 1.9521340491304898e-05 8.679140279624275e-08 0.10803153535507179 0.0012797656987937553 4.5074507319368964e-05 2.118830651726759e-06 0.24944333270831404 0.012041299303652048 0.00019420726000104945 2.1324479751373936e-06 0.00018951955769095404 8.974413598809368e-07 0.9758623734763052 0.01166920235740777
1.5 1.625 2.756221411024918e-05 9.864290014075636e-08 0.2280127130260218 0.0017704631205302274 7.049374517039097e-05 1.7187558842509035e-07 0.583170496512791 0.004262631209081208 5.382493727085029e-06 2.8040530958254043e-08 0.044527518458752226 0.00038464794130503875 2.5587850628155655e-05 9.551990185306161e-08 0.21167948332789516 0.0016589272259104522 6.126331688656552e-05 1.5989324759278855e-07 0.5068103395613747 0.003734423441755881 3.975469246880288e-06 2.4144154011251493e-08 0.03288768909880931 0.0003020794033221655 1.2611816246123704e-05 6.917419007378951e-08 0.10433321600948575 0.0009188824794524364 2.647717974431713e-05 8.725594204849057e-07 0.219036597082904 0.007374493082519591 0.00012991563275204234 8.952194442135545e-07 0.00012784793195745494 7.370991618308175e-07 0.9840842803072529 0.008841604109058234
1.75 1.875 1.9770402394135477e-05 8.455834741905449e-08 0.23358842476625621 0.0028400475955307537 4.883560600471242e-05 1.4275234805229827e-07 0.5769954526838613 0.006780052579945388 3.795505723728931e-06 2.3667351018967197e-08 0.044844115234606435 0.0005819643035942575 1.8310310345586733e-05 8.17435346326449e-08 0.21633735446252747 0.00264483135719564 4.276043156606221e-05 1.332572467932285e-07 0.5052169223831592 0.005961647852056626 2.777046320212457e-06 2.03089606939959e-08 0.032810959661285236 0.0004438760852262139 8.553725890715435e-06 5.689057334322562e-08 0.10106275617775211 0.0013322193897704335 1.8562698295585295e-05 1.0216288601438715e-06 0.21931933239574533 0.012325992311284572 9.096421241816211e-05 1.0352845108354548e-06 8.591190641044773e-05 6.042348105873745e-07 0.9444583108740726 0.01263592527840839
2.0 2.125 1.4149080242816836e-05 7.106048643508647e-08 0.2552757383614923 0.002507713325770923 3.262793503279883e-05 1.1519344422541707e-07 0.5886686670631489 0.005386991902034195 2.9029533736377545e-06 2.080174890096101e-08 0.05237468112180499 0.0005799805596033894 1.3137377520469035e-05 6.878414534818003e-08 0.23702273851856745 0.0023546759495216606 2.8633079875014367e-05 1.0759071982354425e-07 0.5165940457768382 0.004773905073131375 2.05146295294014e-06 1.7546084166200054e-08 0.03701220934830067 0.0004448123154372006 5.85804830082988e-06 4.6227138882356556e-08 0.10569009290273988 0.00122139628830681 9.889680393470509e-06 4.839260363188339e-07 0.17842823853402323 0.00885992966787683 5.9569649042723915e-05 5.029276724435646e-07 5.701820579288569e-05 4.922501274337569e-07 0.9571687379254441 0.011558033810090854
2.25 2.375 8.634975565098169e-06 5.619385934290624e-08 0.25508977116774156 0.002771470032414057 2.0337536348400865e-05 9.182808924822532e-08 0.6008004833503223 0.005889016497215437 1.645677532813608e-06 1.5630456014334542e-08 0.048615714323280095 0.0006261828551260969 7.984116936661287e-06 5.4301475542373e-08 0.2358624580921165 0.0026046235750885184 1.7804098421911528e-05 8.57310731849113e-08 0.5259590323162341 0.005229994212752559 1.1677544836473064e-06 1.3211474000235074e-08 0.03449717046307693 0.0004923413185494916 3.662219604092526e-06 3.689781507449964e-08 0.10818730796991652 0.0014401597854413921 5.762794582332966e-06 2.972348721154919e-07 0.170241356239125 0.008904790253379001 3.6380984028645617e-05 3.165170266503198e-07 3.473703615942816e-05 3.8421599797223476e-07 0.954812990546846 0.013436437780128844
