bin_edges bin_midpoints muons muons__err nue nue__err numu numu__err nutau nutau__err noise noise__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err nue_cc nue_cc__err numu_cc numu_cc__err nutau_cc nutau_cc__err nu_nc nu_nc__err nu nu__err
0 0.5 0.08796618252118327 0.003928501254078791 1.7572209546228413e-07 5.910228890752375e-08 1.3855028415682485e-06 2.553049186231885e-07 2.1071510061016883e-08 9.679068577129371e-09 0.02397346135893842 0.000855649527580692 0.11194122617656878 0.004020604219034132 0.15695602920763616 0.0006849274757744712 1.402128907897292 0.05073074026229407 1.6066151276518713e-07 5.7938021027186154e-08 1.258860489293509e-06 2.3904679816526327e-07 1.7676741743083373e-08 9.396218092310695e-09 1.4509770328976984e-07 9.043722401629221e-08 1.5822964470915499e-06 2.622353263689354e-07
1 1.5 0.004403360423491289 0.0008237030146958746 7.615152463725976e-08 4.597119087143088e-08 4.546096439503278e-07 1.541484561005443e-07 1.2517903380809116e-08 5.524536657053014e-09 0.010688804427552157 0.0005713406291733207 0.015092708130115415 0.001002455383979185 0.024544834838099293 0.0002708542432650583 1.6262710857784008 0.10949731961775432 6.033354284107424e-08 4.316412679567461e-08 4.0279522345682765e-07 1.4517924213572754e-07 6.0907846431053244e-09 4.36181159161866e-09 7.40595210273891e-08 5.4281100063429156e-08 5.432790719683959e-07 1.6095222090295631e-07
2 2.5 0.0811581255294191 0.003631410797585327 3.1046629323454123e-06 2.6988730204539863e-07 9.496168722913799e-06 8.046814058851327e-07 4.928037963814453e-07 5.085115878282097e-08 0.6307310795492421 0.0043888694137007266 0.7119022987141128 0.005696430446716103 1.0262263592696104 0.0017513670290324485 1.441526963915205 0.011794100891681907 2.821576617481526e-06 2.584949455031853e-07 8.610447476364607e-06 7.67325029807998e-07 2.58950815478709e-07 3.700797892817531e-08 1.4026605423158162e-06 2.568272423386691e-07 1.309363545164065e-05 8.502571147201143e-07
3 3.5 0.3924951144646559 0.007765092646001118 0.00015311875466134827 1.917971488637023e-06 0.0004043991803536548 5.038126285732415e-06 2.4237583817799963e-05 3.4992788820514225e-07 2.3891615656464587 0.008541876796285389 2.782238435629947 0.011543844774930059 2.8524134802791434 0.0029198586432010935 1.0252225128337382 0.004381318917744007 0.00014067854820038877 1.83927034175067e-06 0.0003652472637857496 4.779649892268521e-06 1.4757248458802021e-05 2.7910034073794815e-07 6.104481520814988e-05 1.6963822355447968e-06 0.0005817555188328035 5.402201461363332e-06
4 4.5 0.41209396134422044 0.007740869069426471 0.0001765313316910224 2.0578624940756247e-06 0.0004722356232842744 5.446453047622118e-06 2.3362554075469107e-05 3.3678755004454154e-07 1.9598686403980343 0.007736491009841196 2.3726347312513054 0.01094414825865548 2.3414493186970167 0.002645440314581387 0.9868562100421409 0.004686591828621256 0.00016271187066696965 1.979055999614313e-06 0.0004260459214302825 5.159633367071531e-06 1.4034069261196928e-05 2.663260626063355e-07 6.919682545247132e-05 1.8433639913017037e-06 0.0006721295090507682 5.831987199775088e-06
5 5.5 0.3674548054851759 0.007225094035877559 0.00018112507594067977 2.104166300779051e-06 0.00044800060995958056 5.294550702925739e-06 2.3267469973226056e-05 3.3985501700437016e-07 0.9993421350978997 0.005524432133246243 1.367449333738949 0.009095128740012509 1.3974744584422205 0.0020437488527765215 1.0219570290192583 0.0069595767579523566 0.00016660001641103107 2.022161760050743e-06 0.00040220613397293095 4.9972204323228904e-06 1.4029671206479437e-05 2.6685860458761525e-07 6.948414998518096e-05 1.8548417664292895e-06 0.0006523931558734852 5.707476184774551e-06
6 6.5 0.32965436764229794 0.0067654682198143344 0.00016602137257748506 1.999395679933402e-06 0.00044575782571317277 5.321582188601596e-06 2.3670729918724708e-05 3.4849969519825387e-07 0.40354817630363643 0.0035105748546615224 0.7338379938741437 0.007622055397448356 0.814146074226725 0.0015599359010360634 1.1094357079123305 0.011717653935988738 0.00015450678306897858 1.9359116231120496e-06 0.0004020010524029952 5.044234504532327e-06 1.5098037707528115e-05 2.819359016928025e-07 6.382532020020583e-05 1.779480575027225e-06 0.0006354499282093858 5.695460658500886e-06
7 7.5 0.3170320669421832 0.006616057265596232 0.00015127078361326573 1.9026597249104967e-06 0.00041823352883402844 5.167032431459425e-06 2.3023023170170253e-05 3.4631080498655027e-07 0.14002333800152542 0.0020679058248638522 0.4576479322793261 0.006931700994735989 0.5402523784085438 0.0012707318941751035 1.180497802574578 0.01809455835643325 0.00013985359992688113 1.8341048345696732e-06 0.0003768418484600817 4.889395982688978e-06 1.5228941889293413e-05 2.833784087012962e-07 6.055283790818993e-05 1.7568883365850083e-06 0.0005925273356174668 5.517088847408605e-06
8 8.5 0.2952786585036964 0.006337896486507553 0.00013570961358611665 1.8050658871990037e-06 0.00039476599874802183 5.0455803720351925e-06 2.1275969091360072e-05 3.3507254537255105e-07 0.044923518037130634 0.0011712980570923513 0.3407539281222525 0.006445223024896102 0.42162000632391167 0.0011225771344341368 1.2373151753444989 0.02363404907289584 0.0001264341236135464 1.7489011986427468e-06 0.00035691396319904693 4.782781194976196e-06 1.4624774413643862e-05 2.7770441306943137e-07 5.3721904262451006e-05 1.6782740373586448e-06 0.0005517515814254983 5.369210161509642e-06
9 9.5 0.26347505635390234 0.005987967016019217 0.00011409774474054907 1.6356893365308014e-06 0.0003593433321010326 4.830607181697847e-06 1.9090081177373626e-05 3.181109842383138e-07 0.012032539841351308 0.000606190599752044 0.2760001273532726 0.006018574759824934 0.36707858570461843 0.0010474543666014232 1.3299942620489007 0.029249666011006512 0.00010637378906826859 1.5884615981488114e-06 0.0003240758325336549 4.577174590288844e-06 1.3472646439505685e-05 2.682230724848682e-07 4.8595050282853203e-05 1.6017388411544542e-06 0.0004925311580189571 5.109935415228286e-06
