bin_edges bin_midpoints muons muons__err nue nue__err numu numu__err nutau nutau__err noise noise__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err nue_cc nue_cc__err numu_cc numu_cc__err nutau_cc nutau_cc__err nu_nc nu_nc__err nu nu__err
0 0.5 0.002770866557217327 0.0001524823552981415 7.426756555717713e-05 1.250794617590703e-06 0.00029138454116300926 4.42060715166196e-06 1.2406419138562141e-05 2.4301433239029525e-07 2.0461425618457e-05 2.499760998544766e-06 0.0031693865086945324 0.0001525722215642447 0.0034372333248677773 0.00010135848103586122 1.08451061914931 0.061224084370881456 6.861201657158671e-05 1.2099243919457473e-06 0.000257644123102326 4.152160446784387e-06 9.083559831274563e-06 2.061473559869069e-07 4.2707749762124696e-05 1.555116323943702e-06 0.0003780585258587491 4.600577217096332e-06
1 1.5 0.004504780907434444 0.00019280881619147206 0.0005051457067294675 3.406073526869215e-06 0.0017147059158873306 1.0679356296391862e-05 9.18993174008316e-05 6.909122828603199e-07 0.0001633860105354401 7.063793219775838e-06 0.006979917857987515 0.00019326475137325724 0.00694321131623291 0.00014405746835673608 0.9947411212421935 0.034417771726168285 0.00046868712791700606 3.2946799362750532e-06 0.001547139576651976 1.0123165017556454e-05 6.708028955833235e-05 5.915716606689653e-07 0.00022862595766494513 3.526963559999236e-06 0.0023117509400176154 1.1230643238850204e-05
2 2.5 0.007171247048973385 0.00024677946395758934 0.0002705451864377584 2.4402301594926036e-06 0.0010187966866300549 8.28821654135978e-06 4.827274618059826e-05 4.960626169424973e-07 7.665399746615977e-05 4.838357417571325e-06 0.008585515665687956 0.0002469785595319622 0.008832195195638506 0.0001624762608966126 1.028732057520599 0.035126993711839256 0.00025088789893996336 2.361448297966051e-06 0.0009176435811821749 7.853670370509886e-06 3.569464562594274e-05 4.2656914316370447e-07 0.00013327035594104525 2.7300272896422944e-06 0.0013376146192484047 8.654209079268584e-06
3 3.5 0.005722671004285251 0.0002221724834117572 4.2333168093849904e-05 9.115298796165895e-07 0.00023889374525306212 4.092950274926312e-06 6.425591424914063e-06 1.7145317610115365e-07 8.551043542041725e-06 1.6159953330234494e-06 0.006018874552599119 0.00022221799286090659 0.005998719376530112 0.00013390132040631998 0.9966513380711178 0.04299896868305131 3.899813946320989e-05 8.808399289533217e-07 0.00021756180605730368 3.912537880365752e-06 4.90985848658062e-06 1.5006896661546888e-07 2.6182700764722147e-05 1.2272622073426967e-06 0.0002876525047718195 4.196727876101603e-06
4 4.5 0.0033328982364265796 0.00016796246443752136 1.0282885120701905e-05 3.814060012177447e-07 9.285579910557756e-05 2.5573847797076056e-06 8.960709858334571e-07 5.294011186486439e-08 3.053944122157759e-07 3.0539441221578935e-07 0.0034372383860509083 0.00016798265153216666 0.0034432111219545036 0.00010144658055795709 1.0017376554177428 0.057164642517974124 9.603831855586887e-06 3.7031175763527154e-07 8.278530417487016e-05 2.421621789355737e-06 6.841586986258046e-07 4.399244391083427e-08 1.0945662511465358e-05 8.276201480498335e-07 0.00010403475521211375 2.586211535178267e-06
5 5.5 0.0017253239496339851 0.00012284593379598892 6.355711660496581e-06 2.969639175286937e-07 5.032636738991972e-05 1.8745258234716804e-06 4.4694653226859826e-07 3.5462403712818866e-08 0.0 0.0 0.0017824529752166701 0.00012286059882005195 0.0016827498799135293 7.091945195021102e-05 0.9440641090175065 0.07627222054769292 5.756897952294629e-06 2.8187596798726594e-07 4.362107968358675e-05 1.7486959346900336e-06 3.8625391818687334e-07 3.333604862849019e-08 7.3647940286108125e-06 6.817546389903248e-07 5.712902558268895e-05 1.8982339722103065e-06
6 6.5 0.001062523283434274 9.467401449145801e-05 3.7661016439196825e-06 2.017896447814192e-07 3.518418332388931e-05 1.5490758379369737e-06 2.390887593417285e-07 2.233106253077512e-08 0.0 0.0 0.0011017126571614246 9.46869044462727e-05 0.0009474808382461612 5.3215825628271294e-05 0.8600072188399437 0.08829702928499975 3.4070055337268383e-06 1.9654759462604195e-07 3.067293866655905e-05 1.4548429752274956e-06 1.8159024110652075e-07 1.8713637187708802e-08 4.926335468149242e-06 5.341368622071187e-07 3.9189373727147035e-05 1.5623231704019962e-06
7 7.5 0.0003832234102983101 5.831414158170154e-05 2.673372931522727e-06 1.7812076690271243e-07 2.3219975744472043e-05 1.2459831186307503e-06 1.0557587324508052e-07 9.074520853027412e-09 0.0 0.0 0.0004092223348475499 5.832772404009243e-05 0.0005439795348921178 4.03224458516406e-05 1.3293006968809995 0.21355945846311145 2.446900529153723e-06 1.7401310996014992e-07 2.082987274744548e-05 1.189401666583177e-06 9.059262470001526e-08 8.533580864540374e-09 2.630894995677823e-06 3.731663665149038e-07 2.599892454923994e-05 1.258683155700173e-06
8 8.5 0.00022182781128053363 4.1827957347636087e-05 2.022311786179995e-06 1.4322882566931362e-07 1.726996759809779e-05 1.0912449573293969e-06 5.202828719239657e-08 6.645853031164693e-09 0.0 0.0 0.00024117211895200382 4.18424352792285e-05 0.00026302307181596906 2.8038353664608885e-05 1.0906031466610526 0.22207784556284096 1.8979347928374177e-06 1.413728316871351e-07 1.482860618589564e-05 1.0111772078899658e-06 4.4571378698672444e-08 5.761711926374673e-09 2.5731953140353292e-06 4.1094452197624024e-07 1.9344307671469163e-05 1.1006244685459501e-06
9 9.5 6.927203258459614e-05 2.163174415697613e-05 1.4421900457056713e-06 1.1806395587405757e-07 9.500657187590245e-06 7.704716532396037e-07 3.741728221260017e-08 6.006247537339492e-09 0.0 0.0 8.025229710010465e-05 2.1645783816115386e-05 0.00017036721697170722 2.2565689146214712e-05 2.122895208335227 0.6379066627818456 1.2559729695804308e-06 1.1233369689944535e-07 7.960633654007649e-06 7.164648568686817e-07 3.464895396670768e-08 5.970949199467735e-09 1.7290089379550303e-06 2.8570148461373753e-07 1.0980264515510901e-05 7.794881276400361e-07
