# all rates in Hertz, MC rates scaled by 0.9304512573921757
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
0.0 0.125 4.148011178613401e-09 1.1977359470162609e-09 2.337044348399675e-06 2.8875593924278126e-08 2.1423476506242008e-08 1.7442872808432646e-09 4.148011178613401e-09 1.1977359470162609e-09 2.336564733663915e-06 2.8873329121007635e-08 2.1418792871214942e-08 1.7442833153996344e-09 4.842983707866868e-10 3.6166805707760413e-10 1.1512842558029754e-06 1.8846698858892258e-07 3.513900091887506e-06 1.9067795578349839e-07 3.000287194587262e-06 1.129172981351237e-07 0.8538339497796154 0.0563853894084567
0.25 0.375 3.3098310638904277e-07 1.0295516452741118e-08 2.934823582588542e-05 1.0722490054959893e-07 2.55100819684598e-07 5.884944572912357e-09 3.056919495856635e-07 9.914754970218927e-09 2.9239328088252976e-05 1.0701878810132614e-07 2.337309430503726e-07 5.610024706103137e-09 1.5556877107005018e-07 7.417127444448035e-09 1.3555640435667972e-05 5.963190427563927e-07 4.348996018762703e-05 6.059985233343616e-07 4.508505219175108e-05 4.377189533179717e-07 1.0366772468230003 0.017605880312426308
0.5 0.625 3.818283632268439e-06 3.531158108720772e-08 6.685234728029345e-05 1.653052289786157e-07 1.3045901190531676e-06 1.3437751478050147e-08 3.5553817761133515e-06 3.425447162369779e-08 6.543445443826998e-05 1.634792358224124e-07 1.1016396061240936e-06 1.2357150656861023e-08 1.8837452111076283e-06 2.6490962754906514e-08 4.289546761343281e-05 1.2686402707718679e-06 0.00011487068864504788 1.2799224336948918e-06 0.00012029196788950006 7.14985737363015e-07 1.0471946264830363 0.01322448885647995
0.75 0.875 1.7099263972137057e-05 7.423318200216916e-08 0.00010161004788951803 2.063002998845768e-07 4.062669020630512e-06 2.3444352878958917e-08 1.5868680723781273e-05 7.19364333048688e-08 9.446392925102978e-05 1.9875559700198143e-07 3.232862581296989e-06 2.0915249426644923e-08 9.206508326177554e-06 5.919401396871115e-08 5.69443843816288e-05 1.6166575797048645e-06 0.00017971636526391442 1.631625492183098e-06 0.00019070522359363089 9.002442541460885e-07 1.0611455629740745 0.010858501144382037
1.0 1.125 4.032238092458403e-05 1.1372202977888636e-07 0.00012969601791361197 2.3486159270902217e-07 7.767073608086066e-06 3.2040911066814565e-08 3.7383714612363226e-05 1.1021605899646716e-07 0.00011171969056331537 2.1764367839508662e-07 6.075980861203671e-06 2.834979352852278e-08 2.260608640939981e-05 9.380419270839415e-08 5.8324499407833405e-05 2.0050739207945956e-06 0.00023610997185411547 2.0222365627244145e-06 0.0002436054714664669 1.017472272434554e-06 1.031745798593304 0.009831456923569012
1.25 1.375 3.8422097677700074e-05 1.1426835290830356e-07 0.00010331181602474857 2.0928116504370872e-07 7.398838979231847e-06 3.217411152303545e-08 3.566391834194989e-05 1.1072234495647745e-07 8.836222916368711e-05 1.9317930704759284e-07 5.5852646847386e-06 2.7939327610670797e-08 1.9521340491304898e-05 8.679140279624276e-08 4.5074507319368964e-05 2.118830651726759e-06 0.00019420726000104945 2.1324479751373936e-06 0.00018951955769095404 8.974413598809368e-07 0.9758623734763052 0.01166920235740777
1.5 1.625 2.756221411024918e-05 9.864290014075636e-08 7.049374517039097e-05 1.7187558842509038e-07 5.382493727085029e-06 2.8040530958254043e-08 2.5587850628155655e-05 9.55199018530616e-08 6.126331688656552e-05 1.5989324759278855e-07 3.975469246880288e-06 2.4144154011251493e-08 1.2611816246123704e-05 6.917419007378951e-08 2.647717974431713e-05 8.725594204849057e-07 0.00012991563275204234 8.952194442135545e-07 0.00012784793195745494 7.370991618308175e-07 0.9840842803072529 0.008841604109058234
1.75 1.875 1.9770402394135477e-05 8.455834741905449e-08 4.883560600471242e-05 1.427523480522983e-07 3.795505723728931e-06 2.3667351018967197e-08 1.8310310345586733e-05 8.174353463264491e-08 4.276043156606221e-05 1.3325724679322852e-07 2.777046320212457e-06 2.0308960693995902e-08 8.553725890715435e-06 5.689057334322562e-08 1.8562698295585295e-05 1.0216288601438715e-06 9.096421241816211e-05 1.0352845108354548e-06 8.591190641044773e-05 6.042348105873745e-07 0.9444583108740726 0.01263592527840839
2.0 2.125 1.4149080242816836e-05 7.106048643508647e-08 3.262793503279883e-05 1.1519344422541705e-07 2.9029533736377545e-06 2.080174890096101e-08 1.3137377520469035e-05 6.878414534818003e-08 2.8633079875014367e-05 1.0759071982354425e-07 2.05146295294014e-06 1.7546084166200054e-08 5.85804830082988e-06 4.622713888235655e-08 9.889680393470509e-06 4.839260363188339e-07 5.9569649042723915e-05 5.029276724435646e-07 5.701820579288569e-05 4.922501274337569e-07 0.9571687379254441 0.011558033810090854
2.25 2.375 8.634975565098169e-06 5.619385934290624e-08 2.0337536348400865e-05 9.182808924822532e-08 1.645677532813608e-06 1.5630456014334542e-08 7.984116936661287e-06 5.4301475542373004e-08 1.7804098421911528e-05 8.57310731849113e-08 1.1677544836473064e-06 1.3211474000235074e-08 3.662219604092526e-06 3.689781507449964e-08 5.762794582332966e-06 2.972348721154919e-07 3.6380984028645617e-05 3.165170266503198e-07 3.473703615942816e-05 3.8421599797223476e-07 0.954812990546846 0.013436437780128844
2.5 2.625 5.8608024198833015e-06 4.649862267679853e-08 1.3900788504727397e-05 7.623123928894541e-08 1.0629375419027863e-06 1.2584314526148564e-08 5.436613050751817e-06 4.496468628323457e-08 1.21511555038706e-05 7.116018218345748e-08 7.465435610191989e-07 1.0555249105547526e-08 2.4902163508718715e-06 3.057255144485076e-08 4.4035036030850225e-06 4.200402710952752e-07 2.522803206959851e-05 4.296108914683763e-07 2.27146388881996e-05 3.1069336738225445e-07 0.9003729987949508 0.01966611823566806
