# all rates in Hertz, MC rates scaled by 0.895722338851954
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
-20.0 -19.411764705882355 1.5927143441233558e-08 2.2418916058895968e-09 6.831214193179129e-07 1.625761681987745e-08 4.8729511182383955e-09 7.018087285154953e-10 1.392931472067894e-08 2.050816119411145e-09 6.764449839799654e-07 1.617269135000346e-08 4.071051372907414e-09 5.929827817653122e-10 9.4761638038331e-09 1.9275106454589194e-09 0.0 0.0 7.03921513877385e-07 1.642646395685757e-08 7.309481550552537e-07 5.573427431659061e-08 1.0383943957459103 0.08280181855007354
-18.823529411764707 -18.235294117647058 1.9969353392094316e-08 2.637558069947955e-09 7.093770660127256e-07 1.6516820384193836e-08 4.0542354295020525e-09 6.258743320584911e-10 1.8226607170452303e-08 2.495964751785788e-09 6.987466239717549e-07 1.6391561990494697e-08 3.4250816761532615e-09 5.610829226576573e-10 1.300234201596146e-08 2.2194207080030258e-09 1.9147646921337583e-08 1.4147751654277303e-08 7.525483017556594e-07 2.191603667926079e-08 8.32940920876917e-07 5.949578006263693e-08 1.1068271882797496 0.08537761642921395
-17.647058823529413 -17.058823529411764 1.6350146407835556e-08 2.1356690755456204e-09 8.305260899356229e-07 1.790722717541e-08 6.20461349056778e-09 7.575230181050767e-10 1.559859688652282e-08 2.1187650012938744e-09 8.198587699674698e-07 1.77841143308711e-08 5.26343846531233e-09 6.868069945862248e-10 1.2360044514721135e-08 2.1373154009008774e-09 8.018310346931913e-09 8.018310346931913e-09 8.610991601809581e-07 1.975087363775736e-08 8.159421265733064e-07 5.888555080253177e-08 0.9475588460704549 0.07175486507610568
-16.470588235294116 -15.88235294117647 2.8728057523919732e-08 3.041885151384911e-09 9.360703805304713e-07 1.8991755398630606e-08 8.778526465999758e-09 9.70474684584501e-10 2.6267083646627638e-08 2.9441023333584534e-09 9.288525955218259e-07 1.8912014936117356e-08 7.475871322889532e-09 8.702718328858453e-10 1.0981414029047713e-08 1.947367184873697e-09 7.023015769236193e-09 7.023015769236193e-09 9.80599980289627e-07 2.049888801871922e-08 9.73180973881704e-07 6.43096089150029e-08 0.9924342172577532 0.06878512522947015
-15.294117647058822 -14.705882352941176 2.9967220144468924e-08 3.0584846061087063e-09 1.0354075567678334e-06 1.996545711578727e-08 7.933536249016339e-09 8.824522052323413e-10 2.9216476561170764e-08 3.0391801336364615e-09 1.021024055379272e-06 1.9822710589217636e-08 7.317311981291309e-09 8.646729767204881e-10 1.5750469239584503e-08 2.4142074222033463e-09 0.0 0.0 1.0733083131613186e-06 2.021762913456135e-08 1.0539252468238542e-06 6.69243200976683e-08 0.9819408215702963 0.06503889179573129
-14.117647058823529 -13.529411764705882 3.223256179111841e-08 3.226729737235404e-09 1.158586018381719e-06 2.125596438707854e-08 1.0049628810898068e-08 1.0320858235947728e-09 3.08486118406591e-08 3.190842950578166e-09 1.1362340226291392e-06 2.102424491248941e-08 9.280902918045834e-09 9.980323131134405e-10 2.4504671595891154e-08 3.177512642864862e-09 8.157814460388256e-09 8.157814460388256e-09 1.2090260234441231e-06 2.3018317591416092e-08 1.279159271346694e-06 7.372951467217657e-08 1.0580080548661672 0.0642232005510531
-12.941176470588236 -12.352941176470587 4.5839765343207725e-08 3.943545892294603e-09 1.3242972357577669e-06 2.266221527307718e-08 1.07458863842232e-08 1.0160106782360541e-09 4.1875743934189234e-08 3.769953719529072e-09 1.3028260364118137e-06 2.2477197842386313e-08 9.666371931766098e-09 9.80377477414227e-10 2.6514735207428612e-08 3.1243749926709754e-09 0.0 0.0 1.3808828874851979e-06 2.3025199955401383e-08 1.3684029414406493e-06 7.625811452889003e-08 0.9909623428911655 0.05764319005122833
-11.76470588235294 -11.176470588235293 5.628527411834832e-08 4.378817781950005e-09 1.610675740424707e-06 2.5314821384264667e-08 1.4098192857167208e-08 1.2050587233043143e-09 5.330805492038215e-08 4.310542791470838e-09 1.5911160629014929e-06 2.5159226644336265e-08 1.2894203346466384e-08 1.152305520826524e-09 2.3740886231881305e-08 2.927647673448514e-09 1.4251048101259702e-08 1.0232433238167193e-08 1.6953102555014822e-06 2.76797594531619e-08 1.5936369659634892e-06 8.229505905436146e-08 0.940026735986495 0.0509113295557717
-10.588235294117647 -10.0 6.772341100507944e-08 4.658631063185817e-09 1.8647940609547037e-06 2.7310826267531223e-08 2.0734809131338512e-08 1.5105702727542441e-09 6.103026316341498e-08 4.464916148695611e-09 1.8286943693184543e-06 2.7033240388678748e-08 1.8307103803212342e-08 1.412382161491827e-09 4.5220544806040085e-08 4.1399893538518915e-09 5.3723478741660736e-08 2.8201344051814997e-08 2.0069757598327823e-06 3.95623773764409e-08 1.8868661677007712e-06 8.954670549940312e-08 0.9401539398054222 0.048313598152642294
-9.411764705882353 -8.823529411764707 7.691463377511114e-08 4.949041260225953e-09 2.102529349765135e-06 2.8884725768658572e-08 2.6499723605866038e-08 1.7385112429280039e-09 7.130691867435477e-08 4.8117274614001316e-09 2.066837263202482e-06 2.8628082443228852e-08 2.4083280179811292e-08 1.6661568499077208e-09 4.371624508946373e-08 4.043131123302833e-09 2.3836653856640093e-08 1.2039905085635772e-08 2.229780361002752e-06 3.173014541313879e-08 2.112100192223611e-06 9.474064164368093e-08 0.9472234257520238 0.044575594387370396
-8.235294117647058 -7.647058823529411 8.463770064126918e-08 5.0857965366008235e-09 2.4924926302744857e-06 3.1513249156334326e-08 2.8664101532483924e-08 1.752632980102488e-09 7.802885691160421e-08 4.933695102661731e-09 2.4461266155949045e-06 3.120022401731697e-08 2.419180632753988e-08 1.5736520692552775e-09 5.744715361418999e-08 4.663712494567742e-09 1.6424051072577835e-08 9.541198671334965e-09 2.6222184835208167e-06 3.336249980516649e-08 2.452076078295822e-06 1.0208126281516447e-07 0.9351150919367532 0.040706808238159434
