# all rates in Hertz, MC rates scaled by 0.895722338851954
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
0.0 0.125 1.2840483971189029e-09 6.303072945349282e-10 8.754776755981715e-07 1.6767891928670826e-08 1.324937152117983e-08 1.3507729027049527e-09 1.2840483971189029e-09 6.303072945349282e-10 8.753926409633254e-07 1.676767631016477e-08 1.324937152117983e-08 1.3507729027049527e-09 8.503463484621553e-11 8.503463484621553e-11 0.0 0.0 8.900110955164701e-07 1.6834015398941816e-08 7.86194236541988e-07 5.7802149851154743e-08 0.8833532980684498 0.06706018605022779
0.25 0.375 1.5149411517399652e-07 6.767221137713653e-09 1.0705731347527579e-05 6.127684279840307e-08 1.7161125156909997e-07 4.827207227904576e-09 1.3997630584790884e-07 6.512212490856103e-09 1.066078868022783e-05 6.11378485393996e-08 1.5807423938627988e-07 4.620106169208584e-09 6.999748880865456e-08 4.728409703131637e-09 4.418917680492988e-08 2.1912207552269625e-08 1.1073025891075607e-05 6.560559057505541e-08 1.0462757893872294e-05 2.1086385968582473e-07 0.9448869709863893 0.019848862409729485
0.5 0.625 1.8425413861465635e-06 2.3967605153226774e-08 2.599754941924191e-05 9.872795279555654e-08 8.478770485466258e-07 1.0839441187470631e-08 1.7217137356072563e-06 2.3296195042620178e-08 2.5358873107380262e-05 9.741302201885474e-08 7.207068951067009e-07 1.0008412111515833e-08 8.866741158408766e-07 1.752056990898524e-08 5.981251312317426e-07 1.1064351678552349e-07 2.9286092985166842e-05 1.5060257651151815e-07 2.8880951521834328e-05 3.503360366177771e-07 0.9861660801412562 0.012993099433469229
0.75 0.875 3.823404475062616e-06 3.473872741171912e-08 2.6807774098426262e-05 1.028307185393195e-07 1.3446317552731776e-06 1.3641235021366724e-08 3.548828273586581e-06 3.365878333606228e-08 2.544814916442616e-05 1.0010367186137849e-07 1.0846066277138723e-06 1.2265538190754925e-08 1.894226263035442e-06 2.574717280602376e-08 7.51540738050059e-07 8.68927178023894e-08 3.2727351066812116e-05 1.3970455811279861e-07 3.3568369051054935e-05 3.776975643972864e-07 1.0256977102279343 0.012343386461850769
1.0 1.125 1.4413093165809068e-06 2.098757113654932e-08 8.883057863845325e-06 6.083615774787258e-08 3.65098851457362e-07 6.772293414820674e-09 1.3327086979172105e-06 2.0323619744209263e-08 8.229159108047967e-06 5.858218085490914e-08 2.994961361683781e-07 6.1554177301552815e-09 8.281020897500375e-07 1.745192222005852e-08 2.944741867922123e-07 6.410161235488111e-08 1.0983940218675804e-05 9.108455904448143e-08 1.1614426207941909e-05 2.2216617770447644e-07 1.057400712013536 0.022045326236084375
1.25 1.375 6.241573223198326e-07 1.4137550992953331e-08 3.2280128297422403e-06 3.703685636940782e-08 1.3893040012160525e-07 4.203058580246057e-09 5.773690788377063e-07 1.3644618116486915e-08 2.928651841089124e-06 3.528075196492633e-08 1.1228338335802262e-07 3.778487394193966e-09 3.727962488988254e-07 1.200336409061983e-08 1.5454486756517353e-07 4.850003302468208e-08 4.145645419748852e-06 6.278150987855208e-08 3.943720278437648e-06 1.2945896048954985e-07 0.9512922305537079 0.03439057444524259
1.5 1.625 2.447020574958691e-07 8.859628641464407e-09 1.2090214542282746e-06 2.2677878054898145e-08 5.8640477102429204e-08 2.8265491012904605e-09 2.2601770821808653e-07 8.58428929351072e-09 1.1078077129943138e-06 2.1728874164751725e-08 4.6291099520298315e-08 2.517023779203501e-09 1.322474680938743e-07 6.971308966909997e-09 4.654523994562357e-08 1.939096227721539e-08 1.5589092287721966e-06 3.1253447339387754e-08 1.5681387745080733e-06 8.163404385943811e-08 1.0059205151688952 0.056115225186423597
1.75 1.875 1.3187246055685966e-07 6.5796582115702635e-09 6.940068439777603e-07 1.7202062879637817e-08 3.304197341120217e-08 2.121334534644896e-09 1.2304682942176996e-07 6.415325120584902e-09 6.397924062795822e-07 1.6552564580859513e-08 2.7293451574533127e-08 1.9510338342331956e-09 6.878859066993694e-08 4.975199099063172e-09 2.0533249397740082e-08 1.221503365106645e-08 8.794545273435621e-07 2.2201575998128153e-08 8.541894137564302e-07 6.024987581059242e-08 0.9712718363467336 0.07276388380844981
2.0 2.125 9.15510327105654e-08 5.518854739281107e-09 4.6209656322493787e-07 1.3918071265417346e-08 2.4319385771988347e-08 1.8488869344145546e-09 8.457126548617967e-08 5.3519481515024145e-09 4.3165261835078376e-07 1.343776116105154e-08 1.8065945691007526e-08 1.5732248680430045e-09 4.367715217952069e-08 3.987108947032438e-09 0.0 0.0 5.779669817074917e-07 1.5086048133251146e-08 4.632171447733875e-07 4.436815570290421e-08 0.8014595287171977 0.07956528443703959
2.25 2.375 5.6334955027919056e-08 4.224758619851425e-09 2.828826399311721e-07 1.0996194970750024e-08 1.7198868184027568e-08 1.595914139624995e-09 5.202034885314837e-08 4.067165819088528e-09 2.5242366517774106e-07 1.0369773906571313e-08 1.3361370565640441e-08 1.4243918849357633e-09 3.8611078546588864e-08 3.899857722606278e-09 6.3595961939925535e-09 6.3595961939925535e-09 3.627760593371113e-07 1.3481702226442199e-08 3.1022799604089256e-07 3.630944054898271e-08 0.8551501347904873 0.10501191116158654
