# all rates in Hertz, MC rates scaled by 0.895722338851954
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
0.5 1.0 3.666553686800733e-06 3.441268533470574e-08 1.8598520989320747e-05 7.7854637340242e-08 1.514800770583974e-06 1.4888721084813173e-08 3.416267734173886e-06 3.3402146315855877e-08 1.7470839528230704e-05 7.493323332411661e-08 1.242848576812007e-06 1.354714049903896e-08 1.6499196074888584e-06 2.3516667116204845e-08 1.1537022088987168e-06 1.3826776034028448e-07 2.4933577655604164e-05 1.63049762441979e-07 2.3573078000531933e-05 3.165098355636083e-07 0.9454350404958255 0.014119651223017811
1.5 2.0 3.431390089213533e-06 3.315188200034858e-08 2.7223684426406317e-05 1.0378717801231665e-07 1.0900651898051808e-06 1.206985948553716e-08 3.1837198446289284e-06 3.212209873110778e-08 2.5899448383110982e-05 1.0108740447690456e-07 8.922939302798112e-07 1.0924070730342292e-08 1.7696775474053122e-06 2.5429888238765307e-08 6.303248322913684e-07 8.490557145591943e-08 3.23754645377164e-05 1.3865591647016796e-07 3.183449203208666e-05 3.678138054142918e-07 0.983290664293032 0.01211625764909173
2.5 3.0 1.0899056378784034e-06 1.76085795414105e-08 1.771375245743873e-05 8.493263554751252e-08 3.4191112591410364e-07 6.282974985223988e-09 1.0020841374538988e-06 1.696690146801151e-08 1.7163138719482283e-05 8.357638074460882e-08 2.954233161753683e-07 5.835436945531434e-09 6.849230481196886e-07 1.600471621239854e-08 1.1949446133084369e-07 2.98039319898653e-08 1.926506368256208e-05 9.193130474019301e-08 2.009257486686767e-05 2.922112023827024e-07 1.042953981255438 0.01596357246816233
3.5 4.0 2.3721990346031068e-07 7.814329763999911e-09 9.312011649475433e-06 6.222614064286727e-08 7.183215706193753e-08 2.514965815261551e-09 2.1992561417296025e-07 7.602536512855159e-09 9.149563847899936e-06 6.168110713148885e-08 6.341522388161303e-08 2.352671813461696e-09 1.88159024043171e-07 8.46101524410686e-09 1.279068346054514e-08 9.176269204375205e-09 9.633854393458224e-06 6.343252555692176e-08 9.787055820303774e-06 2.0394125914543278e-07 1.015902402152723 0.022200889403153783
4.5 5.0 6.303074063746902e-08 3.762868610886998e-09 4.3767549937063635e-06 4.2761737836799216e-08 1.8216768191084342e-08 1.0121449349464406e-09 5.81102222989965e-08 3.631246774510652e-09 4.322012020410837e-06 4.2504373458862104e-08 1.6811214723987412e-08 9.742327940304837e-10 6.106904510109537e-08 4.79510110117632e-09 0.0 0.0 4.458002502534916e-06 4.2938908234552054e-08 5.018894018141015e-06 1.4604378371399495e-07 1.125816778991749 0.034507946397956596
5.5 6.0 1.9267285298854037e-08 2.0342374021550745e-09 1.7487072808834247e-06 2.709960742418943e-08 3.296759486704891e-09 2.96585037160237e-10 1.7227008603314267e-08 1.9061666733005173e-09 1.731412283766612e-06 2.69621108250055e-08 2.8479861539462117e-09 2.5124241743834735e-10 1.9784047145111175e-08 2.8218420861515966e-09 0.0 0.0 1.7712713256689834e-06 2.7177468738603617e-08 1.9888589335224344e-06 9.193503672409953e-08 1.1228426185758251 0.05468802132300685
6.5 7.0 5.732477399903698e-09 9.944542321981326e-10 5.408167945406963e-07 1.5202409190326157e-08 6.138260139729196e-10 9.320277815183312e-11 5.551447005806634e-09 9.891014184097824e-10 5.332001878134752e-07 1.5098351610356404e-08 5.78220373698529e-10 9.168353512225473e-11 7.833242761592541e-09 1.7787417832391025e-09 0.0 0.0 5.471630979545729e-07 1.5235185301397067e-08 6.33205087809493e-07 5.187418201685986e-08 1.1572510832264928 0.10013195021529298
7.5 8.0 4.4823074489491184e-10 1.7083066973884412e-10 1.2262198243991915e-07 7.257064345879972e-09 2.0504945003983623e-10 5.519657100501163e-11 4.1640612174536205e-10 1.6784013550045522e-10 1.2262198243991915e-07 7.257064345879972e-09 2.00096271578773e-10 5.502763303434066e-11 3.6777801610613075e-11 3.2115847987560524e-11 0.0 0.0 1.232752626348539e-07 7.259284585922807e-09 1.6148854588430024e-07 2.6196901409691537e-08 1.3099833854147653 0.22607536591234215
8.5 9.0 1.5401930826592915e-10 8.1832254286039e-11 1.7445556624214783e-08 2.731879706659346e-09 3.634157641327656e-11 2.4445293706849367e-11 1.3116591174517682e-10 7.857633300810248e-11 1.6636618506014795e-08 2.66153841359002e-09 3.634157641327656e-11 2.4445293706849367e-11 8.317915147207418e-10 6.163621357403508e-10 0.0 0.0 1.763591750889399e-08 2.7332143753981502e-09 3.3997588607221104e-08 1.2019962724078277e-08 1.9277470871632134 0.7441673026572628
9.5 10.0 0.0 0.0 2.5860445152140907e-09 1.093100698853349e-09 1.721722568948696e-13 1.721722568948696e-13 0.0 0.0 2.5860445152140907e-09 1.093100698853349e-09 1.721722568948696e-13 1.721722568948696e-13 0.0 0.0 0.0 0.0 2.5862166874709856e-09 1.0931007124126149e-09 4.249698575902638e-09 4.249698575902638e-09 1.6432105617794697 1.7839583133591785
10.5 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11.5 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
