# all rates in Hertz, MC rates scaled by 0.895722338851954
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
-600.0 -586.7647058823529 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-573.5294117647059 -560.2941176470588 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-547.0588235294117 -533.8235294117646 0.0 0.0 3.75578177263817e-09 1.4481570064859542e-09 0.0 0.0 0.0 0.0 3.75578177263817e-09 1.4481570064859542e-09 0.0 0.0 0.0 0.0 0.0 0.0 3.75578177263817e-09 1.4481570064859542e-09 2.124849287951319e-08 9.502614899602348e-09 5.657541935560231 3.3406934079795856
-520.5882352941177 -507.3529411764706 3.5776607342503086e-08 3.1658882697781217e-09 5.216837700095166e-07 1.6414448892564533e-08 8.489304278870515e-09 1.0655601717606243e-09 3.3159076826980306e-08 3.0649567758737516e-09 4.990002559746392e-07 1.6104814615246393e-08 6.6396737057835455e-09 9.323094506301715e-10 2.715067512348709e-08 3.311221031856934e-09 0.0 0.0 5.659496816308902e-07 1.675089249750515e-08 5.439614177155377e-07 4.807985089631311e-08 0.9611480231740934 0.0895908164303334
-494.11764705882354 -480.88235294117646 7.028814885127589e-07 1.507673946457876e-08 4.7776234757315565e-06 4.840269027447387e-08 1.4003047822859662e-07 4.34538056175703e-09 6.56774314075423e-07 1.4715206917829778e-08 4.497263161299308e-06 4.7165546763591964e-08 1.1067859737007748e-07 3.856990357689778e-09 3.5581936972810275e-07 1.1532924180514282e-08 9.566313604138862e-08 7.354040183736992e-08 5.716198578514301e-06 8.942707382732462e-08 5.919830116232374e-06 1.5861113962940394e-07 1.0356235940583784 0.03213147162705057
-467.6470588235294 -454.4117647058823 1.1696101504078057e-06 1.9050086715322655e-08 7.882493423290111e-06 5.891577394323301e-08 3.348507855389871e-07 6.740531054874819e-09 1.07908979350474e-06 1.8391527763421e-08 7.41967658499813e-06 5.726826769668293e-08 2.7408949543786146e-07 6.1206855715112526e-09 6.140984852961724e-07 1.496807976248954e-08 1.3660552306990689e-08 7.921027559044527e-09 9.400614911543894e-06 6.278655636108992e-08 1.0241773567925358e-05 2.086251436100876e-07 1.0894791100684835 0.023355204779783707
-441.1764705882353 -427.9411764705883 7.75669745213267e-07 1.5327851508650923e-08 7.308557786054977e-06 5.4737845204413876e-08 2.626217786446837e-07 5.8444306306814475e-09 7.142774560764709e-07 1.4766566115395017e-08 6.96880281475096e-06 5.3455580483269166e-08 2.2024895417800058e-07 5.349543966534206e-09 4.435200849074964e-07 1.2695035194791411e-08 4.277884986748675e-08 2.0367923828610284e-08 8.389628159780412e-06 6.066452357002851e-08 8.074427294215011e-06 1.8524006632868315e-07 0.9624296977693882 0.02315041841923788
-414.7058823529412 -401.47058823529414 6.441845191390607e-07 1.398526719858362e-08 6.7612852724869236e-06 5.222583782172292e-08 2.2690032250166125e-07 5.519830106623965e-09 5.965013024143643e-07 1.3526138523030557e-08 6.475886167236936e-06 5.1083417470116897e-08 1.8896355519106961e-07 5.048804873930805e-09 3.710190892852757e-07 1.1646113719915047e-08 2.908239667941251e-08 1.4958967568044234e-08 7.661452510807059e-06 5.636812104287738e-08 7.283983359097121e-06 1.759395740248724e-07 0.950731385311403 0.024005947278769427
-388.2352941176471 -375.0 1.0879321000488998e-06 1.8840133780192176e-08 8.9080779730881e-06 5.98409382078405e-08 3.690146579586788e-07 7.189905757051317e-09 1.0105087609030385e-06 1.8261908161518842e-08 8.523039457631445e-06 5.8500174934308254e-08 3.0256551762446e-07 6.5150972008030504e-09 5.289109949367338e-07 1.3761141764587517e-08 1.2295262014792943e-07 4.395442565718154e-08 1.048797735124361e-05 7.693877309977137e-08 1.0543502166814444e-05 2.1167594606694857e-07 1.0052941395381876 0.02148788269535172
-361.7647058823529 -348.52941176470586 1.2271614798415529e-06 1.9843112128232788e-08 9.56358626515701e-06 6.066503004060923e-08 4.500589312628741e-07 7.934024477198483e-09 1.1408999895633853e-06 1.9242060139481634e-08 9.118553041034177e-06 5.9118076726774635e-08 3.620718279395011e-07 7.126255895109929e-09 6.192818177243736e-07 1.4864599416048688e-08 2.449082906695602e-07 5.8869349428162156e-08 1.1485714966930997e-05 8.719256857818491e-08 1.1656923193700936e-05 2.2257225769551177e-07 1.0149061880137955 0.02085363244470307
