# all rates in Hertz, MC rates scaled by 0.895722338851954
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
-700.0 -691.4705882352941 4.0960797883624703e-10 2.2162288452312424e-10 6.143952663550667e-10 3.926645639027578e-10 2.0474144940872032e-10 2.029843573819523e-10 4.0960797883624703e-10 2.2162288452312424e-10 6.143952663550667e-10 3.926645639027578e-10 2.0474144940872032e-10 2.029843573819523e-10 0.0 0.0 0.0 0.0 1.228744694600034e-09 4.944742784322125e-10 0.0 0.0 0.0 0.0
-682.9411764705883 -674.4117647058824 0.0 0.0 1.5964988389004673e-09 5.675683545554656e-10 1.2062860340001506e-10 1.2062860340001506e-10 0.0 0.0 1.5964988389004673e-09 5.675683545554656e-10 1.2062860340001506e-10 1.2062860340001506e-10 0.0 0.0 0.0 0.0 1.7171274423004821e-09 5.802457212690474e-10 0.0 0.0 0.0 0.0
-665.8823529411765 -657.3529411764706 3.38409382264891e-10 1.7403863310881955e-10 1.363307695808628e-09 5.92742579628276e-10 1.5054776455818134e-10 1.38604934364243e-10 3.38409382264891e-10 1.7403863310881955e-10 1.0077187292864439e-09 4.742364943697059e-10 1.447239576728435e-10 1.3848252995767515e-10 3.61412773407522e-10 3.5563665423990365e-10 0.0 0.0 1.8522648426317004e-09 6.331228469648568e-10 0.0 0.0 0.0 0.0
-648.8235294117648 -640.2941176470588 0.0 0.0 2.136740512567565e-09 8.736155012206509e-10 4.306719504133782e-15 4.306719504133782e-15 0.0 0.0 1.5845564009910664e-09 6.769761819262786e-10 4.306719504133782e-15 4.306719504133782e-15 5.521841115764988e-10 5.521841115764988e-10 0.0 0.0 2.1367448192870698e-09 8.736155012312664e-10 4.249698575902638e-09 4.249698575902638e-09 1.9888657445396594 2.148675732429943
-631.7647058823529 -623.2352941176471 1.0887472075317631e-09 5.460327417556944e-10 6.949268736635087e-09 1.4487266810167633e-09 6.879138007456966e-10 2.6551653445146267e-10 1.0887472075317631e-09 5.460327417556944e-10 6.949268736635087e-09 1.4487266810167633e-09 5.52922409096921e-10 2.2864022884838454e-10 1.3499139164877554e-10 1.3499139164877554e-10 0.0 0.0 8.725929744912546e-09 1.5708150054752475e-09 8.499397151805276e-09 6.0099813620391386e-09 0.9740391454286753 0.7107189889015719
-614.7058823529412 -606.1764705882354 3.3787674941131425e-09 9.868277708120597e-10 3.699563698475688e-08 3.423775817890951e-09 9.211992908718868e-10 3.096436777113178e-10 3.251143194845515e-09 9.824355057243423e-10 3.3991786044526764e-08 3.218452045069961e-09 6.983548712487738e-10 2.7493087984639777e-10 3.3543196591208553e-09 1.180147884610808e-09 0.0 0.0 4.1295603769741916e-08 3.57658344059905e-09 6.799517721444221e-08 1.6998794303610552e-08 1.6465475984701206 0.435639191396323
-597.6470588235294 -589.1176470588235 4.082259072121624e-09 1.039037764128574e-09 6.119195989421179e-08 4.3973137529381666e-09 1.3241253634908075e-09 3.417317241080086e-10 3.5941229156918678e-09 9.172363752442934e-10 5.901634501189571e-08 4.3180753150303476e-09 1.0505245022966113e-09 2.6318835576857167e-10 2.9373518999400304e-09 9.88121036800849e-10 0.0 0.0 6.659834432982423e-08 4.53130756938064e-09 1.3174065585298177e-07 2.36613202836802e-08 1.9781371020358136 0.37992293301089497
-580.5882352941177 -572.0588235294117 1.0464057039982943e-08 1.5606589463361879e-09 1.1676634479325876e-07 6.379021878795406e-09 2.56395105874141e-09 4.84736720327737e-10 9.688991889976307e-09 1.5381393903147683e-09 1.1110509780931875e-07 6.200466534947993e-09 2.0203968548244474e-09 4.29093601946848e-10 6.979866337863593e-09 1.5384299823794954e-09 0.0 0.0 1.297943528919831e-07 6.585024386056877e-09 1.3174065585298177e-07 2.36613202836802e-08 1.0149952822879622 0.18943203884054238
-563.5294117647059 -555.0 2.3708732283615828e-08 2.312829454684798e-09 2.2364150616275642e-07 8.84215846677038e-09 5.253906633280415e-09 6.307285692766038e-10 2.186331678674497e-08 2.218179005145994e-09 2.0604479313024342e-07 8.407547152858485e-09 4.875539845315812e-09 6.205854127088603e-10 1.9820495317348438e-08 2.817529322857541e-09 0.0 0.0 2.5260414507965257e-07 9.161373530537788e-09 2.93229201737282e-07 3.530064760080181e-08 1.160824980305922 0.14595083596982258
-546.4705882352941 -537.9411764705883 4.761465319547082e-08 3.452979729670752e-09 4.077396649222435e-07 1.2223954001029806e-08 1.1759435748864627e-08 1.0685052132820242e-09 4.3134285898244635e-08 3.303921084851337e-09 3.734917809443586e-07 1.161297191020829e-08 9.462002657800428e-09 9.449119627792427e-10 4.102568436617521e-08 3.977430588207075e-09 0.0 0.0 4.671137538665789e-07 1.2747149635256527e-08 6.502038821131036e-07 5.2565868316450576e-08 1.3919604737196851 0.11877140296139924
-529.4117647058823 -520.8823529411765 1.0202033352685889e-07 5.270878175085006e-09 8.657847431514985e-07 1.7906261378653425e-08 2.216358244405235e-08 1.534990960022154e-09 9.080840080203202e-08 4.968297571783458e-09 8.094305486956626e-07 1.7224498398927153e-08 1.879576183860097e-08 1.4201232029626607e-09 7.09339477861141e-08 5.23339992515057e-09 1.42330094535827e-08 1.42330094535827e-08 1.0042016685759923e-06 2.3523416177298033e-08 1.2196634912840571e-06 7.19944595228709e-08 1.214560311390042 0.0771322379465558
-512.3529411764706 -503.82352941176475 3.240070042276219e-07 9.98015277938008e-09 2.747148686563232e-06 3.222473818783459e-08 8.76976457653602e-08 3.2830013876253983e-09 3.0331351241890027e-07 9.76072198363829e-09 2.5961856359875395e-06 3.123563486442504e-08 7.308673369638514e-08 3.006071818504384e-09 1.8626745445338904e-07 8.297123120807102e-09 7.853651463667803e-08 7.151831612714012e-08 3.2373898511928917e-06 7.914344470988707e-08 3.3275139849317653e-06 1.1891564843644689e-07 1.0278385174110758 0.0445040967215118
-495.29411764705884 -486.7647058823529 8.407263534308154e-07 1.6202657982397246e-08 7.368265979471346e-06 5.47170352617342e-08 2.539737438008264e-07 5.8493285554878095e-09 7.814898843141612e-07 1.5708168197413997e-08 7.038279623702047e-06 5.347865644956174e-08 2.0842674003087898e-07 5.282031738232697e-09 4.347698286559002e-07 1.2493262785447702e-08 2.2177878677452166e-08 1.7855989493044502e-08 8.485143955380442e-06 6.007937315630186e-08 8.954114899426857e-06 1.9506996010806714e-07 1.0552696508759927 0.024173333665508275
-478.2352941176471 -469.7058823529412 6.877997362849819e-07 1.4478090852904736e-08 7.131342588024244e-06 5.385552569378675e-08 2.1852111789321896e-07 5.327643473887061e-09 6.408170648523087e-07 1.4116699376498811e-08 6.848946016188407e-06 5.278052673084736e-08 1.863477209547766e-07 4.93948633633883e-09 3.615526402069533e-07 1.1355739471515197e-08 6.383003789477165e-09 6.383003789477165e-09 8.04404644599192e-06 5.6384033953420005e-08 8.26566373013063e-06 1.8742086165319543e-07 1.0275504729649012 0.024387188365222762
-461.1764705882353 -452.6470588235294 5.386763740526934e-07 1.3065852048902071e-08 5.835296141850983e-06 4.8147715282215265e-08 1.711575245261188e-07 4.725903542476502e-09 4.953282637750333e-07 1.2568060295334127e-08 5.612802812401871e-06 4.717431649606361e-08 1.4440536681375536e-07 4.336484513566905e-09 2.925935974391353e-07 1.0443934438683396e-08 8.609295034249115e-09 6.101432418352127e-09 6.553739335464044e-06 5.048247833169024e-08 5.932579211960082e-06 1.587818422506061e-07 0.9052205021120238 0.025211102693008053
-444.11764705882354 -435.5882352941177 4.319012607454684e-07 1.1452470797929923e-08 5.141644222249511e-06 4.466081455963257e-08 1.5369166118604572e-07 4.42164547156253e-09 3.9382450868451116e-07 1.0953195023861846e-08 4.96064238275817e-06 4.3819606166933145e-08 1.2992861753201124e-07 4.068287496373502e-09 2.4284163520633275e-07 9.413663695633556e-09 5.863664958201844e-08 2.5604667238293095e-08 5.785873793763044e-06 5.29235049629863e-08 5.469362067186695e-06 1.524570109506913e-07 0.9452957776373316 0.027732290257641214
-427.05882352941177 -418.52941176470586 4.576442360453798e-07 1.17410250502611e-08 5.1317236210400456e-06 4.416031731624128e-08 1.7471368684750986e-07 4.805643769223115e-09 4.2363351097099343e-07 1.1369025770796351e-08 4.922431826165457e-06 4.314468523213916e-08 1.466811138848729e-07 4.412102999033754e-09 2.7133509291161193e-07 1.0044612640971767e-08 9.388942536393989e-08 4.303120356370954e-08 5.857970969296874e-06 6.295048837681928e-08 5.788089460379393e-06 1.5683633359962024e-07 0.9880706972971106 0.028801770912932397
-410.0 -401.47058823529414 6.515423762221186e-07 1.4284393399744686e-08 6.057939244986517e-06 4.819139089685244e-08 2.4729836935758995e-07 5.808526349375242e-09 6.035946322649768e-07 1.384099417361402e-08 5.793496153997126e-06 4.706151835429389e-08 2.0542259103856567e-07 5.306220122379912e-09 3.5426661326555664e-07 1.1210594462854346e-08 8.304728923771422e-08 2.679948358933879e-08 7.0398272798039404e-06 5.7257360665494586e-08 7.122494813212821e-06 1.7397832067411286e-07 1.0117428354593356 0.026047418048239044
