energy genie_140000 genie_120000 genie_160000
1.000000000000000000e+00 1.340766400910188949e+00 1.901356918775733540e+00 3.452199524835263134e+01
1.467799267622069470e+00 1.087423932898200052e+00 1.706217256119213044e+00 2.876619455948377535e+01
2.154434690031883814e+00 9.825099117637251522e-01 1.637195358724345517e+00 2.778884860380215827e+01
3.162277660168379523e+00 9.055149993837725564e-01 1.679685540681076228e+00 2.559999086903551202e+01
4.641588833612778409e+00 8.360184755711160820e-01 1.728470322353618638e+00 2.187427382870219361e+01
6.812920690579611360e+00 8.196483325419795518e-01 1.902444233252888361e+00 1.876402193249021977e+01
1.000000000000000000e+01 7.932924902544902235e-01 2.171212800816865407e+00 1.594816127791751548e+01
1.467799267622068982e+01 8.076099286617173245e-01 2.475910712001452740e+00 1.284772181717541173e+01
2.154434690031883193e+01 7.267886681850072028e-01 2.839412983961044024e+00 1.501408968946023847e+01
3.162277660168379256e+01 6.362757989493426081e-01 3.357507118842802729e+00 2.373604725757573775e+01
4.641588833612777165e+01 5.937833736210680335e-01 3.969061310678761778e+00 4.297253056220937140e+01
6.812920690579611005e+01 5.789165862642403626e-01 4.746828193544323504e+00 8.838686560056441976e+01
1.000000000000000000e+02 5.839699926568002741e-01 5.248664727822372811e+00 1.828072996050168229e+02
1.467799267622069124e+02 6.039577705028431609e-01 6.778786055720865455e+00 4.006143821998477961e+02
2.154434690031882269e+02 6.357365215876140674e-01 8.466904257129979072e+00 8.774947582557199439e+02
3.162277660168379612e+02 6.779046407224588178e-01 1.061770626359325398e+01 2.028242835190242886e+03
4.641588833612777307e+02 7.321249414614520168e-01 1.327289094754103793e+01 4.614843048092097888e+03
6.812920690579608163e+02 7.936353759458679713e-01 1.636768708207695866e+01 1.149174962988480365e+04
1.000000000000000000e+03 8.783469852178531490e-01 2.106410797695188819e+01 2.550971117654342743e+04
1.467799267622069010e+03 1.006502820301947709e+00 2.654258656616071477e+01 6.473538501782130334e+04
2.154434690031882383e+03 1.216675401005591572e+00 3.317938866898714423e+01 1.689105756255774759e+05
3.162277660168379498e+03 1.443890323630459216e+00 4.525770951194371605e+01 4.517357939068736741e+05
4.641588833612777307e+03 1.831283407442481970e+00 5.878677419611965149e+01 1.148047615098309703e+06
6.812920690579608163e+03 2.758338977859072116e+00 8.516451690341142466e+01 4.037675433723914437e+06
1.000000000000000000e+04 2.758338977859072116e+00 8.516451690341142466e+01 4.037675433723914437e+06

