# all rates in Hertz, no MC scaling
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
-20.0 -19.411764705882355 1.6437866330408592e-08 2.2845039769414245e-09 7.079265826414835e-07 1.7076094591508892e-08 5.492300223001451e-09 7.862774431248303e-10 1.4159606560551367e-08 2.0663022710479234e-09 6.997095298569288e-07 1.695119516177567e-08 4.633634269097124e-09 6.785965848429552e-10 1.135397850831624e-08 2.3145369566032625e-09 0.0 0.0 7.298567491948934e-07 1.724616470802675e-08 7.309481550552537e-07 5.573427431659061e-08 1.0014953699634404 0.07994610604537818
-18.823529411764707 -18.235294117647058 2.0159111293467804e-08 2.6336212462049738e-09 7.356119341498886e-07 1.73689175899753e-08 4.4385071006166715e-09 6.571360370106087e-10 1.8051837901846887e-08 2.4460632403384857e-09 7.2188931628646e-07 1.7172976807215086e-08 3.737834005254234e-09 5.816182215983106e-10 1.6530564350411986e-08 2.7954336576595887e-09 2.9668641430635177e-08 2.1921470173584496e-08 7.898781939746082e-07 2.8099785434382028e-08 8.32940920876917e-07 5.949578006263693e-08 1.054518186767026 0.08414770757690665
-17.647058823529413 -17.058823529411764 1.6904127663988897e-08 2.186610136301384e-09 8.539101374227584e-07 1.8722668955385298e-08 6.671081714175245e-09 7.759799425009664e-10 1.5951540979034e-08 2.159879584644156e-09 8.405096332865729e-07 1.8533758773603067e-08 5.7135073464549355e-09 7.084198664299648e-10 1.531066518886077e-08 2.693434381391946e-09 1.242410493257918e-08 1.242410493257918e-08 8.899094517335018e-07 2.258938080045636e-08 8.159421265733064e-07 5.888555080253177e-08 0.916882189512528 0.07014404144304708
-16.470588235294116 -15.88235294117647 2.9157133838147952e-08 3.0164205244447165e-09 9.530419007920907e-07 1.9608692253105434e-08 9.320487038621877e-09 9.950784737887805e-10 2.637278043970205e-08 2.9057752828586356e-09 9.443213006543119e-07 1.9494666505092443e-08 8.068514121274169e-09 9.13326948068379e-10 1.2756926453572315e-08 2.2956627742272764e-09 1.088192912033337e-08 1.088192912033337e-08 1.0024014507891938e-06 2.2649639449806826e-08 9.73180973881704e-07 6.43096089150029e-08 0.9708495265200541 0.06780230794641663
-15.294117647058822 -14.705882352941176 2.9924293171299775e-08 3.0347760244269815e-09 1.055550532789484e-06 2.0685917553710858e-08 8.558717259957394e-09 9.236804830420095e-10 2.9126693640747878e-08 3.013039730447252e-09 1.0371929017643517e-06 2.046382905785493e-08 7.836842239383173e-09 9.011576414691115e-10 1.9877105576258388e-08 3.051465708634605e-09 0.0 0.0 1.0940335432207413e-06 2.0927738439499677e-08 1.0539252468238542e-06 6.69243200976683e-08 0.9633390615439342 0.06388743572425334
-14.117647058823529 -13.529411764705882 3.289902063293465e-08 3.285291142346406e-09 1.1723284732159903e-06 2.183699528687101e-08 1.0713377496329145e-08 1.0673033883262323e-09 3.132933286870155e-08 3.239835527421239e-09 1.1441705347900482e-06 2.147613122821629e-08 9.850447755307712e-09 1.0250724822717115e-09 3.0590555931196476e-08 4.001889204028599e-09 1.2640261911932223e-08 1.2640261911932223e-08 1.2285811332571863e-06 2.546689731344954e-08 1.279159271346694e-06 7.372951467217657e-08 1.0411679267411635 0.06377473029333001
-12.941176470588236 -12.352941176470587 4.702661061040138e-08 4.047896654342656e-09 1.328712716642488e-06 2.312477523253424e-08 1.1352359871658433e-08 1.023052284199154e-09 4.234735994195673e-08 3.8296165404662765e-09 1.3016363827552775e-06 2.2827079648283894e-08 1.0147217387281955e-08 9.79506967456691e-10 3.296072704003181e-08 3.93527265132503e-09 0.0 0.0 1.387091687124548e-06 2.349866661867589e-08 1.3684029414406493e-06 7.625811452889003e-08 0.986526668815498 0.05746114526513817
-11.76470588235294 -11.176470588235293 5.8030327400774174e-08 4.449533194867188e-09 1.6177157112840552e-06 2.5847980121613412e-08 1.516989748496336e-08 1.2594728313156186e-09 5.454209339179024e-08 4.358254679292611e-09 1.593888903395251e-06 2.5620310135575584e-08 1.3814996297364462e-08 1.1975541042674615e-09 2.8669943085387293e-08 3.5600397058275076e-09 2.208152457918168e-08 1.585481463875293e-08 1.7129974607489743e-06 3.0673732101939986e-08 1.5936369659634892e-06 8.229505905436146e-08 0.9303206820088938 0.05084786151788977
-10.588235294117647 -10.0 6.860282938945671e-08 4.644730595871556e-09 1.859220881302743e-06 2.77103435718341e-08 2.1892676847233587e-08 1.5528595230321446e-09 6.097620311993187e-08 4.394586796913012e-09 1.813157363282411e-06 2.7251619765786552e-08 1.9156842071933552e-08 1.4390687656519662e-09 5.6425979065156985e-08 5.273892678913672e-09 8.32427417186435e-08 4.369704371365267e-08 2.0329591292580775e-06 5.197383635242309e-08 1.8868661677007712e-06 8.954670549940312e-08 0.9281377773636686 0.05003215829285547
-9.411764705882353 -8.823529411764707 7.975513035834962e-08 5.039162106526298e-09 2.083390623603386e-06 2.9099175965151038e-08 2.7872379073637337e-08 1.776400544057059e-09 7.306291464187638e-08 4.8648513300856075e-09 2.038289487682797e-06 2.8693237087778988e-08 2.5120643233928294e-08 1.6872992261232735e-09 5.4545087476770654e-08 5.049275568018975e-09 3.693410156789227e-08 1.8655432091060065e-08 2.2279522346032647e-06 3.4976219663991055e-08 2.112100192223611e-06 9.474064164368093e-08 0.9480006615131569 0.04505273145136395
-8.235294117647058 -7.647058823529411 8.861736326541509e-08 5.294572989344331e-09 2.45276893480777e-06 3.157975670986066e-08 3.0851181984455246e-08 1.846420685387687e-09 8.043995701857995e-08 5.0836073575057955e-09 2.3940855322736295e-06 3.10722681829963e-08 2.5931631264338017e-08 1.6424326701283983e-09 7.178035950109228e-08 5.890357159262483e-09 2.5448520338430764e-08 1.4783769690407226e-08 2.5976860003960707e-06 3.531688905608639e-08 2.452076078295822e-06 1.0208126281516447e-07 0.943946296019593 0.041339463759425814
-7.0588235294117645 -6.470588235294118 1.3937956849063077e-07 6.7548925142815665e-09 2.980127826187508e-06 3.4760472260086754e-08 5.102416049139025e-08 2.4172849010600374e-09 1.2156464270481536e-07 6.289936967277335e-09 2.8966447480121224e-06 3.4124473742868955e-08 4.665971521990627e-08 2.3196401948198804e-09 1.0566244923268552e-07 7.094964764052867e-09 8.482924399124946e-08 5.828493755900467e-08 3.2553607991607787e-06 6.824145526858086e-08 3.3742606692666942e-06 1.1974803030074002e-07 1.0365243293881796 0.04272296967292001
-5.882352941176471 -5.294117647058823 2.2453980142567984e-07 8.35024687265702e-09 3.929226741934576e-06 4.026176728828355e-08 7.55923159864292e-08 2.9631024945958614e-09 1.9897188467784473e-07 7.812782495234267e-09 3.788091705568011e-06 3.929991288930288e-08 6.758351846021702e-08 2.795273980195556e-09 1.747117506406125e-07 9.283330455968148e-09 9.28910126276316e-08 4.92576360645458e-08 4.322249871974318e-06 6.423263356792201e-08 3.7609832396738346e-06 1.264240685852009e-07 0.8701447975185876 0.031980521734864785
-4.705882352941176 -4.117647058823528 4.302397298189164e-07 1.1820299013783405e-08 5.207773010394564e-06 4.6126142152614e-08 1.3688020002329066e-07 4.129474087831048e-09 3.992094037680956e-07 1.1471783146404791e-08 4.98045695136515e-06 4.477830539933203e-08 1.1775355630596438e-07 3.829994477851727e-09 2.774730287975609e-07 1.1533677393013549e-08 1.3372909183447654e-07 3.8249364770751745e-08 5.908622032071249e-06 6.121606750083262e-08 5.9580774034154985e-06 1.591226981181897e-07 1.0083700346841973 0.02888599093836383
-3.5294117647058805 -2.9411764705882337 9.282769961144922e-07 1.739363846407497e-08 7.421111848207957e-06 5.4882911824360453e-08 2.940724881224122e-07 6.247588703459654e-09 8.441760072048939e-07 1.6550781336791414e-08 6.955878008405049e-06 5.2618180686658376e-08 2.416116721278245e-07 5.6048197636740375e-09 6.017956447070948e-07 1.6723926803585535e-08 2.2641766395801648e-07 6.2245906702369e-08 8.869878996402879e-06 8.501916216446205e-08 9.387584154168927e-06 1.9973583306742397e-07 1.0583666539279735 0.024698040170194457
-2.352941176470587 -1.7647058823529402 1.2076102173204868e-06 1.952117163435251e-08 8.463253598480852e-06 5.7473039134229235e-08 4.6861152334171064e-07 8.101068377782924e-09 1.1092486422547995e-06 1.8768739413502735e-08 7.889616225983493e-06 5.4883669557556454e-08 3.834435552684972e-07 7.3149141290828436e-09 7.571669156362579e-07 1.821710586710008e-08 4.0567966029441875e-07 1.3809518932873705e-07 1.0545154999437467e-05 1.5106334761914865e-07 1.0849480464279435e-05 2.14725456521419e-07 1.028859269006307 0.0251368773916129
-1.1764705882352935 -0.5882352941176467 1.4740667685569078e-06 2.1666291187896197e-08 8.152024724863498e-06 5.4854588602616334e-08 5.878855734269944e-07 9.275399743294589e-09 1.3619903350206412e-06 2.0864148362278657e-08 7.5998811790019595e-06 5.235331901509907e-08 4.744654329533636e-07 8.309346992949931e-09 7.776401198714351e-07 1.7867824679287295e-08 3.5108170546993005e-07 6.673453282215922e-08 1.056505877231733e-05 8.954320172961625e-08 1.0802733779944505e-05 2.1426236804554708e-07 1.0224963261207722 0.022054266858983144
