# all rates in Hertz, no MC scaling
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
0.0 0.125 1.0625197718652244e-09 4.979805439992233e-10 8.736637682017461e-07 1.7318984214925213e-08 1.3166648489978063e-08 1.3106261684008214e-09 1.0625197718652244e-09 4.979805439992233e-10 8.73584854748791e-07 1.7318804430553843e-08 1.3166648489978063e-08 1.3106261684008214e-09 7.891345295511046e-11 7.891345295511046e-11 0.0 0.0 8.878929364635892e-07 1.7375642141006688e-08 7.86194236541988e-07 5.7802149851154743e-08 0.8854606273514694 0.06736703907252922
0.25 0.375 1.4671688239539048e-07 6.615985272724317e-09 1.0597728637512807e-05 6.214929977353424e-08 1.7483542270765996e-07 4.8636905921311396e-09 1.3432088717132053e-07 6.328980834477193e-09 1.0545124606378082e-05 6.195429547816274e-08 1.5975785148519634e-07 4.601988391919621e-09 8.007759758125879e-08 5.513001531604772e-09 6.846965828889546e-08 3.395223608899352e-08 1.0987750600904751e-05 7.129317320114366e-08 1.0462757893872294e-05 2.1086385968582473e-07 0.9522201835388192 0.020160853020237138
0.5 0.625 1.7885446060047935e-06 2.336697249181483e-08 2.545026508398774e-05 9.885274621956883e-08 8.64160636706926e-07 1.0933629601398612e-08 1.6529714708949275e-06 2.251127471501993e-08 2.469765472854681e-05 9.697045235244441e-08 7.26211237864556e-07 9.974013079498408e-09 1.0261328893931662e-06 2.068617990837112e-08 9.267749777332197e-07 1.714384456544412e-07 2.9029745304432685e-05 1.9957095415729984e-07 2.8880951521834328e-05 3.503360366177771e-07 0.9948744372009479 0.013871523876557946
0.75 0.875 3.75524435753055e-06 3.4196388921626734e-08 2.6475131780501584e-05 1.037902826024394e-07 1.3850828269690718e-06 1.3921458769847619e-08 3.4438483502783395e-06 3.2810546192163846e-08 2.484283461824142e-05 9.976768010100818e-08 1.102625392441485e-06 1.2349549834716966e-08 2.226150604039964e-06 3.087052764318387e-08 1.1644873529015595e-06 1.3463737335471884e-07 3.277994631790277e-05 1.739621944449768e-07 3.3568369051054935e-05 3.776975643972864e-07 1.0240519836581177 0.0127395620873048
1.0 1.125 1.4792361641217617e-06 2.1466059952559208e-08 9.084020538198986e-06 6.329152928869872e-08 3.880683885737856e-07 7.088939186882227e-09 1.350317265780743e-06 2.0587770230424753e-08 8.271480228345643e-06 5.986238651068045e-08 3.144655325547635e-07 6.3640558111348804e-09 1.0150620642133842e-06 2.165639998250607e-08 4.5627794863817757e-07 9.932331423780443e-08 1.1407603039532714e-05 1.199249065856048e-07 1.1614426207941909e-05 2.2216617770447644e-07 1.0181302914987886 0.02222267337804838
1.25 1.375 6.34668716894507e-07 1.4344386661641857e-08 3.309050923517852e-06 3.857686482544975e-08 1.4661174164083673e-07 4.358405959956599e-09 5.797533738168075e-07 1.3678656748310705e-08 2.9393325405274002e-06 3.594243828534096e-08 1.1701005092649852e-07 3.8666343658354125e-09 4.5423541678248927e-07 1.4799197590369107e-08 2.394621270996276e-07 7.514918648200864e-08 4.329793509152824e-06 8.579237646713841e-08 3.943720278437648e-06 1.2945896048954985e-07 0.9108333388418988 0.03492422603105952
1.5 1.625 2.473703834791485e-07 8.993322457046624e-09 1.2190619422336158e-06 2.3216375112304285e-08 6.097777373448834e-08 2.9025856737837904e-09 2.2533766904922968e-07 8.61818271002292e-09 1.0955278861860428e-06 2.1805003331031444e-08 4.7300018359087084e-08 2.5355728454174883e-09 1.5924452585289324e-07 8.493794948151665e-09 7.212029968605226e-08 3.004565047397938e-08 1.5995303991333047e-06 3.912858339078777e-08 1.5681387745080733e-06 8.163404385943811e-08 0.9803744745068672 0.05639022601928224
1.75 1.875 1.3079830688890237e-07 6.526714424541531e-09 6.973786314734339e-07 1.75244078608372e-08 3.435147431913911e-08 2.193790087804538e-09 1.2025721462233673e-07 6.287021856298342e-09 6.327012895934473e-07 1.6585716749690868e-08 2.7855678855193042e-08 1.9836796573920493e-09 8.171422961049837e-08 5.9973292469348605e-09 3.1815586337582214e-08 1.8926787972718518e-08 8.943439990190576e-07 2.669717007411241e-08 8.541894137564302e-07 6.024987581059242e-08 0.9551016328094446 0.07315239157944495
2.0 2.125 9.147728978400965e-08 5.5703920592056315e-09 4.566453299929882e-07 1.400385587376395e-08 2.533953227816005e-08 1.9269113687282024e-09 8.341322264316203e-08 5.3539477577779e-09 4.206619664997568e-07 1.3320210187145018e-08 1.84986534197523e-08 1.6078419662916664e-09 5.0888309492486854e-08 4.708749583280334e-09 0.0 0.0 5.73462152055158e-07 1.5193756429841446e-08 4.632171447733875e-07 4.436815570290421e-08 0.8077553908541698 0.08027432905612938
2.25 2.375 5.581092820426817e-08 4.222349067830244e-09 2.8143145930024173e-07 1.1124846127105725e-08 1.7926074956895845e-08 1.6605629858629486e-09 5.085500768712302e-08 4.018043264014356e-09 2.4513805697118106e-07 1.0224239905923232e-08 1.3684796945669609e-08 1.4649613877845056e-09 4.549060085743204e-08 4.639184975762497e-09 9.853982575422207e-09 9.853982575422207e-09 3.65022445036828e-07 1.5538625261879787e-08 3.1022799604089256e-07 3.630944054898271e-08 0.8498874528375726 0.10584680799315709
