# all rates in Hertz, no MC scaling
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
0.5 1.0 3.424841534801041e-06 3.240091808847289e-08 1.749785067404129e-05 7.572397270637466e-08 1.4837018930577309e-06 1.4482831807548358e-08 3.15537384727626e-06 3.117271972266172e-08 1.6213985926147827e-05 7.168878149255432e-08 1.2006006275559677e-06 1.3000207919648296e-08 1.8364337009200082e-06 2.6714540981056228e-08 1.7876231630009969e-06 2.1424129136105527e-07 2.4194017264901056e-05 2.2998483184034118e-07 2.3573078000531933e-05 3.165098355636083e-07 0.9743350078008773 0.01602888930773756
1.5 2.0 3.493515325416734e-06 3.376679900827152e-08 2.6700009693252506e-05 1.0372283263703997e-07 1.1729346834972271e-06 1.292546440209242e-08 3.2021607301902034e-06 3.2393643671671585e-08 2.507343622755132e-05 9.954235329473247e-08 9.459213225536787e-07 1.1523231073809813e-08 2.1449414218712655e-06 3.1223024378896825e-08 9.76667342514977e-07 1.3155835624803117e-07 3.234312704468145e-05 1.7138638059720513e-07 3.183449203208666e-05 3.678138054142918e-07 0.984273783673047 0.012511237826061224
2.5 3.0 1.1591976267147365e-06 1.8643945704836574e-08 1.7866112779380674e-05 8.70068281133973e-08 3.747820074637045e-07 6.770903107266627e-09 1.0522854775823214e-06 1.7771818606718222e-08 1.7169934276950005e-05 8.485568404758223e-08 3.209248204996728e-07 6.231655570047855e-09 8.569478385271156e-07 2.0210685188044504e-08 1.8515268955690794e-07 4.618020036942382e-08 1.9585245103116022e-05 1.0048005217378861e-07 2.009257486686767e-05 2.922112023827024e-07 1.0259036719265224 0.01582111375199556
3.5 4.0 2.57340352585564e-07 8.451164333505475e-09 9.594473623170248e-06 6.486267418543114e-08 8.076642345639213e-08 2.7432679602154067e-09 2.353101718306191e-07 8.132760690060084e-09 9.386351941328658e-06 6.399139554704638e-08 7.08833222583645e-08 2.5450048877044e-09 2.400349637945622e-07 1.0890208896071784e-08 1.9818738187656136e-08 1.4218323630785319e-08 9.952399137399858e-06 6.699458878930896e-08 9.787055820303774e-06 2.0394125914543278e-07 0.9833865870114932 0.021534355465440188
4.5 5.0 7.005350862441305e-08 4.153873688502266e-09 4.636119459564374e-06 4.564771306793496e-08 2.1033478080707692e-08 1.141947134856591e-09 6.369975416326934e-08 3.964850879682637e-09 4.566316274762132e-06 4.524873398499431e-08 1.933942997022399e-08 1.0943249498726395e-09 7.785098737387075e-08 6.156858076368626e-09 0.0 0.0 4.727206446269495e-06 4.585054436112355e-08 5.018894018141015e-06 1.4604378371399495e-07 1.0617040053543056 0.032565358635709515
5.5 6.0 2.204264947443456e-08 2.2953302792779807e-09 1.8956822819243123e-06 2.9502369301910382e-08 3.891558878342832e-09 3.4681366136842224e-10 1.9398842538301786e-08 2.1201635282784155e-09 1.873394319522406e-06 2.9290385261406143e-08 3.356475971638912e-09 2.9476334311959816e-10 2.546685224474306e-08 3.642796680614893e-09 0.0 0.0 1.9216164902770893e-06 2.9593556988523466e-08 1.9888589335224344e-06 9.193503672409953e-08 1.0349926447787972 0.050427862035420934
6.5 7.0 6.776648006018555e-09 1.1684542069277197e-09 6.000748335620293e-07 1.6891726137972418e-08 7.41629684982564e-10 1.1240468746655047e-10 6.508036407515311e-09 1.1567191767539968e-09 5.893521901550369e-07 1.6704442008227668e-08 6.925556202493564e-10 1.0991567427633876e-10 1.1040329070228852e-08 2.513934854396346e-09 0.0 0.0 6.075931112530306e-07 1.6932463848114722e-08 6.33205087809493e-07 5.187418201685986e-08 1.0421531713939995 0.09018112299109213
7.5 8.0 4.973684595548147e-10 1.873251660096389e-10 1.369368199941935e-07 8.119583156620785e-09 2.4753613390735873e-10 6.647902392426841e-11 4.5776146682405665e-10 1.8309015251335733e-10 1.369368199941935e-07 8.119583156620785e-09 2.4035064260267423e-10 6.61776431256616e-11 4.679248403544254e-11 4.010852833787778e-11 0.0 0.0 1.3768172458765564e-07 8.122015809866562e-09 1.6148854588430024e-07 2.6196901409691537e-08 1.1729119922629083 0.20246158443741324
8.5 9.0 1.679754220218718e-10 9.373828563337928e-11 1.9738172319933747e-08 3.1075353681887462e-09 4.159376139409286e-11 2.6932779032969738e-11 1.42631382839611e-10 9.024713774637416e-11 1.8851140628974045e-08 3.0215569708490744e-09 4.159376139409286e-11 2.6932779032969738e-11 9.123757301419622e-10 7.263689536175169e-10 0.0 0.0 1.994774150334971e-08 3.1090655035434508e-09 3.3997588607221104e-08 1.2019962724078277e-08 1.704332723657567 0.6585266931332157
9.5 10.0 0.0 0.0 3.0425623057186737e-09 1.297462069112939e-09 2.569548239892065e-13 2.569548239892065e-13 0.0 0.0 3.0425623057186737e-09 1.297462069112939e-09 2.569548239892065e-13 2.569548239892065e-13 0.0 0.0 0.0 0.0 3.042819260542663e-09 1.2974620945571435e-09 4.249698575902638e-09 4.249698575902638e-09 1.3966319429517273 1.5182989225941406
