# all rates in Hertz, no MC scaling
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
10.0 10.92321545365875 1.8335166222696514e-09 7.955419850985785e-10 3.470838736003703e-09 1.012010834526782e-09 2.5265092147927244e-10 1.7668922552296832e-10 1.8335166222696514e-09 7.955419850985785e-10 2.6908769116535636e-09 8.393797436864831e-10 2.4170023148996957e-10 1.7644403781477392e-10 7.909125143394419e-10 5.654150325415237e-10 0.0 0.0 5.557006279752627e-09 1.299335238370024e-09 8.499397151805276e-09 6.0099813620391386e-09 1.5294920905116614 1.1391086373988888
11.931663584704934 13.033213205630632 2.6850006502942293e-09 1.091444827880658e-09 8.302592324637585e-09 1.6947375146972627e-09 2.0603565872135315e-10 1.6141965998315246e-10 2.1487316858262317e-09 9.506142277789978e-10 7.54755678628255e-09 1.6003287793636257e-09 1.5927793005800454e-10 1.5785940203627284e-10 1.3380622314863822e-09 7.744702445750827e-10 0.0 0.0 1.119362863365317e-08 2.0222372172074104e-09 1.6998794303610552e-08 8.499397151805276e-09 1.5186133880218609 0.8073510877251796
14.236459589857388 15.550791539731852 4.746551491227039e-09 1.3265257448903574e-09 1.6494544605607355e-08 2.5826449707312323e-09 5.279997901138697e-10 2.4766080496147264e-10 3.4957921596571925e-09 1.1820783452499356e-09 1.5285934385366858e-08 2.445814816074337e-09 2.877936558308532e-10 1.930522782302219e-10 2.6995756860933587e-09 1.036567875272507e-09 0.0 0.0 2.1769095886948265e-08 2.9139425991282687e-09 2.5498191455415826e-08 1.040959307159379e-08 1.171302271248819 0.5032298472863141
16.986464646342473 18.554681312795612 8.570736051183795e-09 1.835435991634792e-09 2.10649251357458e-08 2.7479181637157328e-09 6.642851242778598e-10 3.0947637045593447e-10 8.349341612786183e-09 1.8286470542825944e-09 1.9868902510813733e-08 2.6427034325561475e-09 2.681560735317113e-10 1.480559092257067e-10 1.8135461140758275e-09 8.16028862173825e-10 1.0035233246183605e-08 1.0035233246183605e-08 4.033517955739106e-08 1.0569842072758068e-08 3.824728718312374e-08 1.2749095727707913e-08 0.9482364427981149 0.40205831355382854
20.267678165364227 22.138821534568855 1.091412649645323e-08 2.0576536996086283e-09 3.804058417134636e-08 3.657100321699493e-09 1.5134713494582541e-09 4.4343351081576977e-10 9.755354290100488e-09 1.883621732752531e-09 3.4957867142440947e-08 3.4129391746805186e-09 1.3231892577951992e-09 4.3008472407989923e-10 4.431771326921204e-09 1.5568549312471422e-09 2.636137494496703e-08 2.636137494496703e-08 7.682955696222486e-08 2.6696948210949834e-08 9.349336866985803e-08 1.993285317491292e-08 1.216893242217007 0.4960968387607505
24.182711751219564 26.415297071229666 2.2420349921728273e-08 2.738688607248717e-09 8.228884224690396e-08 5.758596525174103e-09 2.8107540207556772e-09 5.849375784711923e-10 2.0461602196620342e-08 2.637580680756351e-09 7.491168973583702e-08 5.372146267771429e-09 2.0493664330007006e-09 4.6140147785533466e-10 1.0097287823929857e-08 2.230318924354135e-09 3.68248098283739e-08 2.9023714421782184e-08 1.4434475601776186e-07 2.9721709238115768e-08 1.3599035442888442e-07 2.4039925448156554e-08 0.9421218905392765 0.25567462210949715
28.853998118144272 31.517843814395402 3.591442454273795e-08 3.6130436709965986e-09 1.4890188976514245e-07 7.481641833005478e-09 6.322005093453209e-09 8.774795124713722e-10 3.188692740475049e-08 3.3999342911171456e-09 1.3072256742704798e-07 6.7904067865741396e-09 5.323897521582449e-09 7.971180899894322e-10 2.320492704795271e-08 3.390345796560928e-09 3.222827485296483e-08 1.887765742306806e-08 2.2336659425429848e-07 2.0643763444765337e-08 2.4223281882645034e-07 3.2084520647870803e-08 1.0844630533725785 0.1751516959844819
34.42761986194067 37.60603093086393 7.414349334599252e-08 5.214141219059433e-09 2.575665951776781e-07 9.924684539050882e-09 1.4142259446491323e-08 1.390969879533976e-09 6.810015095387146e-08 5.018281772695956e-09 2.343952508702878e-07 9.278332319752038e-09 1.087451285744483e-08 1.199559856248023e-09 3.2482433288557875e-08 3.861590685597257e-09 2.5472275693879547e-08 1.848033246769144e-08 3.7132462366404144e-07 2.165973492852928e-08 4.2072015901436114e-07 4.228396694513018e-08 1.1330252081397398 0.13166277068652898
41.07787782147818 44.87025098230767 1.1652940362901342e-07 6.504037988537057e-09 4.924344901737279e-07 1.3838816788764037e-08 2.166118085401798e-08 1.6928377050798454e-09 1.0671287753172656e-07 6.271889969645082e-09 4.5726031100547445e-07 1.3205604215359474e-08 1.7425013257135797e-08 1.5147936853999622e-09 4.922687286242246e-08 4.545533342927816e-09 1.1358118073288511e-07 5.8304175692714877e-08 7.442062553896444e-07 6.029973435241665e-08 6.587032792649089e-07 5.290832059170354e-08 0.8851084957892907 0.10098291047793272
49.01274189394899 53.53767396821713 1.8228743076966291e-07 8.102147604446997e-09 8.01930634928853e-07 1.760852541671421e-08 4.204570200532744e-08 2.4165507446719528e-09 1.6737854019390673e-07 7.80355768100871e-09 7.259000778622192e-07 1.6463748423791002e-08 3.2758875996581814e-08 2.1077634933250636e-09 1.0022627365113573e-07 6.719485774252848e-09 4.7931190394238404e-08 2.4368238245854082e-08 1.0741949580980815e-06 3.123068548500972e-08 1.172916806949128e-06 7.060129520160362e-08 1.0919031020456833 0.07298995370052588
58.480354764257314 63.87935148963817 2.885035837026017e-07 9.956756525310826e-09 1.2550005673956193e-06 2.191348268392865e-08 7.867504108774622e-08 3.3037926488103842e-09 2.667383129694001e-07 9.581063947729349e-09 1.1590783282644723e-06 2.0818054475241856e-08 6.260475086989984e-08 2.9271717789318807e-09 1.3375780008219482e-07 7.516399176567344e-09 4.434517930736524e-08 2.93054743473346e-08 1.6665243714933326e-06 3.806656796234434e-08 1.806121894758621e-06 8.760978052741764e-08 1.0837656656291192 0.05810735884493236
69.77679193613147 76.21869319834828 4.1325446661229717e-07 1.1665211306326737e-08 1.8364664517536002e-06 2.6097501459970776e-08 1.3946603489609355e-07 4.570288854834922e-09 3.8081211709887e-07 1.1228353144719412e-08 1.6871427790171056e-06 2.467183453891524e-08 1.1089303373194118e-07 4.075046688376522e-09 2.103390234140743e-07 9.30929310530442e-09 2.6472600272682787e-07 8.698264753866823e-08 2.653912955988818e-06 9.167347080986541e-08 2.498822762630751e-06 1.030497139044306e-07 0.9415616879942914 0.05065113878294203
83.25532074018732 90.941580610853 5.414226023336039e-07 1.324470746950882e-08 2.520874959485465e-06 3.030071765942386e-08 2.0348668303130307e-07 5.390299290176877e-09 4.977087711887974e-07 1.2709014391800274e-08 2.308467270031136e-06 2.858862847200274e-08 1.626914084057999e-07 4.8123278620420505e-09 2.9691679522463844e-07 1.098288982434435e-08 2.2447313879231822e-07 7.244998178364321e-08 3.4902573836426904e-06 7.982237125967192e-08 3.535749215150995e-06 1.2258004896546604e-07 1.013033947502412 0.04207400125814466
99.33744787086225 108.50843457100231 6.750913693697272e-07 1.4358178308014989e-08 3.172961740142713e-06 3.36986160529033e-08 2.6839147013337473e-07 6.175601022673697e-09 6.242218700567406e-07 1.384712465855031e-08 2.921846861467982e-06 3.1840656072932604e-08 2.1363656826498027e-07 5.500468924238588e-09 3.567392798561119e-07 1.2002777068089974e-08 2.960746465297438e-07 7.682133656344465e-08 4.412519226175558e-06 8.533117723078141e-08 4.2751967673580535e-06 1.3478982756107776e-07 0.968878898475299 0.0358355615715852
118.52610093582918 129.46861374041663 7.714835274549708e-07 1.5247424388851184e-08 3.919117060741925e-06 3.755963263647755e-08 3.240053712159661e-07 6.885493215677962e-09 7.077152122857844e-07 1.460981373102251e-08 3.614740779077913e-06 3.560719853373334e-08 2.5813866017121857e-07 6.1189282704185245e-09 4.340113078779466e-07 1.3109517277521246e-08 2.348038704803841e-07 5.8640084790380136e-08 5.249409829893247e-06 7.1618988510918e-08 5.120886783962679e-06 1.4752025377271026e-07 0.9755166675692413 0.031094563925568974
