# all rates in Hertz, no MC scaling
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
-500.0 -493.75 8.27100490826885e-08 4.9296233649531474e-09 7.894896600994482e-07 1.831696109936648e-08 2.2428584980492965e-08 1.6894812564148498e-09 7.663963988287437e-08 4.789986502488975e-09 7.418525447090734e-07 1.7616899407416944e-08 1.839299652556279e-08 1.5114736109990207e-09 5.774311304511927e-08 5.204126194660679e-09 0.0 0.0 8.946282941626296e-07 1.9043807322900897e-08 1.0114282610648278e-06 6.55611564928112e-08 1.1305569784281446 0.07713357144308333
-487.5 -481.25 8.807169152739196e-07 1.6447615056812888e-08 8.02947794044122e-06 5.834134559431746e-08 2.6485987144029674e-07 5.926281166356926e-09 8.038341837638269e-07 1.5758160734824844e-08 7.573480178696898e-06 5.628611887771245e-08 2.1817333251454577e-07 5.348236870585848e-09 5.795670321801649e-07 1.625752163126203e-08 1.5605359940134902e-07 1.1421688551108477e-07 9.331108326556786e-06 1.2944054384592043e-07 9.723310341665235e-06 2.0327601460092173e-07 1.0420316645550265 0.026144272614864947
-475.0 -468.75 5.563901427314428e-07 1.3162371119603954e-08 5.407990073567023e-06 4.800068013963766e-08 1.7478340586315413e-07 4.815101082583767e-09 5.104272805791519e-07 1.2645825677690931e-08 5.107016438914341e-06 4.6349563238124855e-08 1.4261743537415076e-07 4.316871574396406e-09 3.7910246729397666e-07 1.3178171579099082e-08 2.2053574295158732e-08 2.2053574295158732e-08 6.161217196456779e-06 5.465216047866338e-08 6.506288519706938e-06 1.6628218502476522e-07 1.056007005149665 0.028567887894425444
-462.5 -456.25 5.660383229733287e-07 1.3154700142297114e-08 5.811538283771195e-06 4.927951643499167e-08 1.888453695181118e-07 4.9997697725663965e-09 5.175394550792532e-07 1.2660735272175846e-08 5.51606015535338e-06 4.7744268997040795e-08 1.5659295358165611e-07 4.525670427588328e-09 3.762294122483475e-07 1.2892767009683332e-08 1.3339816030190398e-08 9.453966399997574e-09 6.579761792292826e-06 5.211422122963479e-08 6.510538218282841e-06 1.6633648124989384e-07 0.9894793191311166 0.026466934042794828
-450.0 -443.75 3.7039969955489107e-07 1.0972555374921428e-08 3.711030529961115e-06 3.9016525672597724e-08 1.2338591121743223e-07 4.13955746405086e-09 3.3895836092714913e-07 1.0466199278361245e-08 3.5304563010922445e-06 3.7767426039326714e-08 1.052627687134077e-07 3.818310764373469e-09 2.3013871000063697e-07 1.045575865017267e-08 8.436506582348038e-09 8.436506582348038e-09 4.213252647315787e-06 4.160524998516864e-08 3.905472991254524e-06 1.2882966665004054e-07 0.9269496320717093 0.03191793277513041
-437.5 -431.25 3.3668831235899787e-07 1.0304997924461479e-08 3.994460042656159e-06 4.027509667939419e-08 1.1307351088508522e-07 3.780011482577423e-09 3.067600102974868e-07 9.827060107282353e-09 3.841940915692788e-06 3.9269931042917023e-08 9.407299106620479e-08 3.3894254632307015e-09 2.0144794884376238e-07 9.611351732598586e-09 2.3923744930563946e-08 2.3923744930563946e-08 4.468145610830806e-06 4.811351632409343e-08 4.079710632866532e-06 1.3167209448697834e-07 0.9130657297688093 0.031065966470623107
-425.0 -418.75 2.6812243104455486e-07 8.886717208945855e-09 3.773227755513521e-06 3.865772277392752e-08 1.1189166757187497e-07 3.754633442418357e-09 2.4108954690662573e-07 8.41048052680111e-09 3.606515958128209e-06 3.7565269486895796e-08 9.043202782784902e-08 3.3316165156131493e-09 2.1520432126726727e-07 9.721379643992072e-09 3.072772461765936e-08 1.809151751150907e-08 4.1839695787476096e-06 4.375835407066603e-08 4.360190738876107e-06 1.3612309272737546e-07 1.042118174334634 0.0343115036248408
-412.5 -406.25 3.1899835077389116e-07 9.761344305109322e-09 3.5898952132887146e-06 3.802248370969253e-08 1.2170838424915888e-07 4.033307655702761e-09 2.9059142860438305e-07 9.310265722904332e-09 3.4255798745223605e-06 3.689687762777178e-08 1.0399147813874841e-07 3.7209274099383094e-09 2.104391670462734e-07 9.76497585467525e-09 1.3227571181379556e-08 1.3227571181379556e-08 4.0438295194931445e-06 4.162005910736718e-08 3.91397238840633e-06 1.2896977508367076e-07 0.9678875851563863 0.0334125464222543
-400.0 -393.75 4.883787348290642e-07 1.2169492825935464e-08 4.480914936502785e-06 4.215852860022019e-08 1.8694700806637267e-07 5.070329601513572e-09 4.446959319249564e-07 1.1630111787611999e-08 4.2604370017221004e-06 4.081690615288025e-08 1.55445530291479e-07 4.624241417444228e-09 2.95662215459686e-07 1.1335051604287975e-08 2.462325969895868e-07 9.05835318427862e-08 5.4024732763878085e-06 1.0077957418424193e-07 5.269626234119271e-06 1.496473290863417e-07 0.9754099584630687 0.03314149684647359
-387.5 -381.25 5.472515742371087e-07 1.3215440249214987e-08 4.8926425679908315e-06 4.402732830690337e-08 1.9811483109084658e-07 5.2229465383077675e-09 5.046184388026286e-07 1.2717277666776128e-08 4.649109948701344e-06 4.262471261472292e-08 1.5744446018818837e-07 4.611296092546777e-09 3.2683612562662603e-07 1.1852144994544578e-08 7.666861567070643e-08 2.879440817718239e-08 5.714677588989494e-06 5.4492665668332235e-08 5.694596091709535e-06 1.5556451041699302e-07 0.996485978960799 0.028832656868272608
