# all rates in Hertz, no MC scaling
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
-600.0 -586.7647058823529 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-573.5294117647059 -560.2941176470588 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
-547.0588235294117 -533.8235294117646 0.0 0.0 4.3250985322987905e-09 1.6919937069224564e-09 0.0 0.0 0.0 0.0 4.3250985322987905e-09 1.6919937069224564e-09 0.0 0.0 0.0 0.0 0.0 0.0 4.3250985322987905e-09 1.6919937069224564e-09 2.124849287951319e-08 9.502614899602348e-09 4.912834406160826 2.9190678883568233
-520.5882352941177 -507.3529411764706 3.800743859959189e-08 3.3329779262039303e-09 5.489585650079415e-07 1.7379853868645162e-08 9.397533321170433e-09 1.164249668958102e-09 3.4716981195295625e-08 3.183155952167153e-09 5.194409086429544e-07 1.687672540946807e-08 7.2365049484455414e-09 1.004308477529022e-09 3.4969142142008124e-08 4.307964921311776e-09 0.0 0.0 5.963635369287036e-07 1.7734811519824278e-08 5.439614177155377e-07 4.807985089631311e-08 0.9121305781318573 0.085062540882333
-494.11764705882354 -480.88235294117646 7.238929961793894e-07 1.5394543637370587e-08 4.858951928956024e-06 4.966247583460691e-08 1.5041759528580062e-07 4.648061430529103e-09 6.688958403399809e-07 1.491355734433161e-08 4.5056610062956375e-06 4.771405042942952e-08 1.17145657250035e-07 4.065777866642752e-09 4.4156001653556056e-07 1.4470058886614863e-08 1.4822684442646728e-07 1.1394840429955748e-07 5.881489364847682e-06 1.2533633470507745e-07 5.919830116232374e-06 1.5861113962940394e-07 1.0065188847596744 0.03445771804679675
-467.6470588235294 -454.4117647058823 1.1748450332737252e-06 1.9156660904899623e-08 7.86167645909488e-06 5.997191450508237e-08 3.450911359410643e-07 6.8742183219004316e-09 1.0696865437638423e-06 1.8287823999978392e-08 7.295772744261064e-06 5.749040881559603e-08 2.7857739805662514e-07 6.158572288840973e-09 7.375759422281375e-07 1.8257695333528315e-08 2.1166571005072138e-08 1.2273368491539683e-08 9.402779199314738e-06 6.450967863891813e-08 1.0241773567925358e-05 2.086251436100876e-07 1.0892283388587667 0.023412253313575996
-441.1764705882353 -427.9411764705883 7.849024827548363e-07 1.55271327116421e-08 7.262376435121692e-06 5.574852167762065e-08 2.736439181046043e-07 5.998697154416859e-09 7.135585623715665e-07 1.4795619354753765e-08 6.849454080693777e-06 5.3838988481966034e-08 2.2660862827735156e-07 5.417155924599209e-09 5.313015646384365e-07 1.542988256183558e-08 6.628440365270631e-08 3.1559419872325235e-08 8.387207239633838e-06 6.618890291969804e-08 8.074427294215011e-06 1.8524006632868315e-07 0.9627074976828066 0.02335620307364572
-414.7058823529412 -401.47058823529414 6.372718076674344e-07 1.380497060162251e-08 6.684731527017775e-06 5.280965943663601e-08 2.3371182762348378e-07 5.628396477372026e-09 5.818047604469563e-07 1.3183638930210462e-08 6.341461655458374e-06 5.113363152738221e-08 1.9191997204730387e-07 5.078488907827111e-09 4.4052877435605897e-07 1.4030984706158499e-08 4.506220542762705e-08 2.3178422224520634e-08 7.600777367736321e-06 5.956807405691228e-08 7.283983359097121e-06 1.759395740248724e-07 0.9583208409729348 0.02433551484600269
-388.2352941176471 -375.0 1.0609999206344647e-06 1.8412103105841355e-08 8.722071592162295e-06 5.982908719298535e-08 3.749474386951133e-07 7.246305651892957e-09 9.73827329979267e-07 1.7665508168337465e-08 8.265802245121984e-06 5.788437958410841e-08 3.0345966502456723e-07 6.4740593152237054e-09 6.14929711366054e-07 1.632326983256883e-08 1.9051099151305974e-07 6.810591920092355e-08 1.0348529943004931e-05 9.278712405786354e-08 1.0543502166814444e-05 2.1167594606694857e-07 1.0188405720313254 0.02240189842558788
-361.7647058823529 -348.52941176470586 1.192693454855782e-06 1.938761305014533e-08 9.34486122383351e-06 6.078556685794879e-08 4.6014573311928885e-07 8.041008213241547e-09 1.0960678330404137e-06 1.8636289740501532e-08 8.812708940112325e-06 5.849599565830866e-08 3.649438953799173e-07 7.110828494396643e-09 7.239797432759251e-07 1.7769800389543883e-08 3.794772427711642e-07 9.121609702822438e-08 1.1377177654579742e-05 1.1160555025701987e-07 1.1656923193700936e-05 2.2257225769551177e-07 1.0245883071895767 0.021993894261045602
