# all rates in Hertz, no MC scaling
bin_edges bin_midpoints nuenuebar nuenuebar__err numunumubar numunumubar__err nutaunutaubar nutaunutaubar__err nue_ccnuebar_cc nue_ccnuebar_cc__err numu_ccnumubar_cc numu_ccnumubar_cc__err nutau_ccnutaubar_cc nutau_ccnutaubar_cc__err nuall_ncnuallbar_nc nuall_ncnuallbar_nc__err muon muon__err total_mc total_mc__err data data__err data_mc_ratio data_mc_ratio__err
-700.0 -691.4705882352941 3.840692987893012e-10 2.0256858846303641e-10 6.464972624173444e-10 4.1712150165289713e-10 2.238459093770846e-10 2.2075238541009747e-10 3.840692987893012e-10 2.0256858846303641e-10 6.464972624173444e-10 4.1712150165289713e-10 2.238459093770846e-10 2.2075238541009747e-10 0.0 0.0 0.0 0.0 1.2544124705837302e-09 5.135718020270614e-10 0.0 0.0 0.0 0.0
-682.9411764705883 -674.4117647058824 0.0 0.0 1.6390601498223e-09 5.897552742440147e-10 1.4111294734502183e-10 1.4111294734502183e-10 0.0 0.0 1.6390601498223e-09 5.897552742440147e-10 1.4111294734502183e-10 1.4111294734502183e-10 0.0 0.0 0.0 0.0 1.7801730971673219e-09 6.064026281333483e-10 0.0 0.0 0.0 0.0
-665.8823529411765 -657.3529411764706 2.9444873524048906e-10 1.5086337317937692e-10 1.3647062910406711e-09 6.022933769189438e-10 1.7872509084952295e-10 1.6387531491839891e-10 2.9444873524048906e-10 1.5086337317937692e-10 1.0279403295884618e-09 4.993455708100292e-10 1.7242237376503438e-10 1.6375406742110964e-10 3.4306867853669795e-10 3.3682493529351133e-10 0.0 0.0 1.8378801171306833e-09 6.421621197852528e-10 0.0 0.0 0.0 0.0
-648.8235294117648 -640.2941176470588 0.0 0.0 1.9249410607606893e-09 7.638026235308353e-10 5.673772794434523e-15 5.673772794434523e-15 0.0 0.0 1.5726247588079711e-09 6.776929032319492e-10 5.673772794434523e-15 5.673772794434523e-15 3.5231630195271813e-10 3.5231630195271813e-10 0.0 0.0 1.924946734533484e-09 7.638026235519087e-10 4.249698575902638e-09 4.249698575902638e-09 2.2076967116352777 2.3751405773223517
-631.7647058823529 -623.2352941176471 9.496375068325181e-10 4.2294222211827514e-10 7.562944062649235e-09 1.586849564133063e-09 6.465068764731696e-10 2.492489903998409e-10 9.496375068325181e-10 4.2294222211827514e-10 7.562944062649235e-09 1.586849564133063e-09 5.318381647367108e-10 2.213055484257928e-10 1.1466871173645872e-10 1.1466871173645872e-10 0.0 0.0 9.159088445954925e-09 1.6610528955018186e-09 8.499397151805276e-09 6.0099813620391386e-09 0.9279741321374619 0.6774146904529652
-614.7058823529412 -606.1764705882354 3.1593124181701846e-09 8.691849645191012e-10 4.056575367709452e-08 3.777022628920411e-09 9.672125638668647e-10 3.123523720797895e-10 2.9532757337038693e-09 8.562322945751029e-10 3.710449794746249e-08 3.5250273231383454e-09 7.17813476972186e-10 2.6875167256716855e-10 3.9166915009930275e-09 1.3739605575175405e-09 0.0 0.0 4.469227865913157e-08 3.888308944292723e-09 6.799517721444221e-08 1.6998794303610552e-08 1.5214077074261991 0.40272588585156266
-597.6470588235294 -589.1176470588235 4.0340136569608615e-09 1.0854450554527993e-09 6.74744852062415e-08 4.877303730099257e-09 1.454422083382475e-09 3.862224844386694e-10 3.4221514865587575e-09 8.965576684395478e-10 6.484170194190808e-08 4.771905564496105e-09 1.1150571475984281e-09 2.6945274340589827e-10 3.5840103705195626e-09 1.2115887508958715e-09 0.0 0.0 7.296292094658484e-08 5.0115317470343376e-09 1.3174065585298177e-07 2.36613202836802e-08 1.8055836326704533 0.3471974986641398
-580.5882352941177 -572.0588235294117 1.0654014272455366e-08 1.580454383769102e-09 1.2723340568960335e-07 7.0085957120655065e-09 2.861089003419153e-09 5.447049157033948e-10 9.782304319706583e-09 1.5555758645119465e-09 1.2059345801682596e-07 6.775523143158166e-09 2.3309281839030216e-09 5.028185951795188e-10 8.0418184450423e-09 1.8260878089969027e-09 0.0 0.0 1.4074850896547785e-07 7.205203214313211e-09 1.3174065585298177e-07 2.36613202836802e-08 0.936000365625859 0.17480590422613634
-563.5294117647059 -555.0 2.4814530455290367e-08 2.4051219001676507e-09 2.3894187793715463e-07 9.542269973428243e-09 5.871734601930209e-09 7.067705391170267e-10 2.2663540661325754e-08 2.291156665658678e-09 2.1771371537754652e-07 8.936228589048579e-09 5.431809189881015e-09 6.953932303488162e-10 2.3819077765621905e-08 3.4278127411344664e-09 0.0 0.0 2.696281429943752e-07 9.866055554040838e-09 2.93229201737282e-07 3.530064760080181e-08 1.087531881801371 0.1368376155837836
-546.4705882352941 -537.9411764705883 5.020326096855348e-08 3.634522951689906e-09 4.284245751412072e-07 1.3003983514029825e-08 1.3005444425375566e-08 1.1512942885612258e-09 4.482077306948376e-08 3.4383394884734708e-09 3.8595984906050317e-07 1.2097712526515823e-08 1.0370734516968893e-08 1.0082227850389215e-09 5.0481923888180465e-08 4.944237338751887e-09 0.0 0.0 4.916332805351361e-07 1.3551340260593926e-08 6.502038821131036e-07 5.2565868316450576e-08 1.3225383794306305 0.11296457817745345
-529.4117647058823 -520.8823529411765 1.0665186821992048e-07 5.479503563107938e-09 8.983433034897672e-07 1.8847402337638525e-08 2.4251774770302865e-08 1.6513377697547538e-09 9.322441126387288e-08 5.077376328551856e-09 8.284880084341753e-07 1.7838095557618767e-08 2.0246063056953107e-08 1.4996806631655652e-09 8.728846372498908e-08 6.46142437925289e-09 2.2053574295158732e-08 2.2053574295158732e-08 1.051300520775149e-06 2.9569183110069837e-08 1.2196634912840571e-06 7.19944595228709e-08 1.1601473291240927 0.07585810066712634
-512.3529411764706 -503.82352941176475 3.278677512877066e-07 1.001376412373395e-08 2.788482855094354e-06 3.330208967400402e-08 9.247037658314753e-08 3.4041972668107153e-09 3.0312465699080073e-07 9.706481589118584e-09 2.6038810589597504e-06 3.184777697406108e-08 7.620877626805551e-08 3.083036912972842e-09 2.2560649074660146e-07 1.0143540209234724e-08 1.2168971474875417e-07 1.1081524981194442e-07 3.3305106977139614e-06 1.1619342837913076e-07 3.3275139849317653e-06 1.1891564843644689e-07 0.9991002242436113 0.0498978481306982
-495.29411764705884 -486.7647058823529 8.451419822178874e-07 1.6253046153809277e-08 7.39899904347489e-06 5.5989868566308307e-08 2.629628022220936e-07 5.985874628115176e-09 7.768572415946137e-07 1.5617422082697904e-08 6.992080312180716e-06 5.410220193959276e-08 2.13149066907226e-07 5.3326504684701605e-09 5.250172072323156e-07 1.5344976317132476e-08 3.436388465259486e-08 2.7667261248063537e-08 8.541467712567467e-06 6.480999098427992e-08 8.954114899426857e-06 1.9506996010806714e-07 1.0483110398289328 0.024183548595383065
-478.2352941176471 -469.7058823529412 6.989094266025634e-07 1.4702262160345814e-08 7.150085995537208e-06 5.507865769953252e-08 2.2878451580113393e-07 5.499543148876327e-09 6.440552130072517e-07 1.4238047121460116e-08 6.802337843435225e-06 5.344602392928114e-08 1.9281893306835563e-07 5.039780052567709e-09 4.3856794843007405e-07 1.3980743141896692e-08 9.890251865327089e-09 9.890251865327089e-09 8.087670189806233e-06 5.8119507081699926e-08 8.26566373013063e-06 1.8742086165319543e-07 1.0220080117199564 0.024309617895049287
-461.1764705882353 -452.6470588235294 5.453099138465173e-07 1.3192310976158572e-08 5.842721519586945e-06 4.925551534772406e-08 1.7947393073622184e-07 4.895579871409496e-09 4.94481160825007e-07 1.2523084394754885e-08 5.569277712463533e-06 4.7772550041225215e-08 1.4954218032387763e-07 4.430413507474175e-09 3.5420431055726753e-07 1.2862224507921371e-08 1.3339816030190398e-08 9.453966399997574e-09 6.580845180199876e-06 5.209114170404779e-08 5.932579211960082e-06 1.587818422506061e-07 0.9014919891763653 0.025160972960395277
